"","X","id","lyrics","artist","song","album","genre","year"
"284",284,100250,"I'm in love with a man Who's not in love with me Yes I'm in love with a man Who's not in love with me If I can't get that man I'd just as soon be down deep in the sea Yes he's got everything I've wanted And I'm not speaking of his gold He's got everything I ever wanted And I'm not speaking of his gold He's got that certain somethin' That really satisfies my soul I'm telling you right now Baby I'm gonna get you if I can Yes I'm telling you right now Baby I'm going to get you if I can How could you want another woman When you know I can't use another man","Blondie","Double Take","Blondie:No_Exit_(1999)","New Wave","1999"
"285",285,100251,"Now let me tell you baby Yes let me tell you baby Don't forget pretty daddy That this world is full of old men I'm not going to be your servant I told you time and time again No I'm not going to be your servant I told you time and time again Try to find yourself another woman 'Cause I've got myself another man So leave me alone baby You're not going to worry my mind Yes leave me alone baby You're not going to worry my mind Before I keep you papa I'll take any kind of man I can find You had me once daddy You could have kept me all to yourself Yes you had me once daddy You could have kept me all to yourself But now I'm sorry baby I belong to somebody else","Blondie","No Exit","Blondie:No_Exit_(1999)","New Wave","1999"
"286",286,100252,"I've got bad news baby and you're the first to know Yes I've got bad news baby and you're the first to know I discovered this mornin' that my top is about to go I've been rockin' on my feet and talkin' all out of my head Yes I've been rockin' on my feet and talkin' all out of my head Yes and when I get through talkin' can't remember a thing I said Used to be a sharpie always dressed in the latest styles Now I'm walkin' down Broadway wearin' nothin' but a smile I see all kinds o' little men although they're never there I try to push the A trail and put whisky in my hair I'm a girl you can't excuse I've got those blow top blues Last night I was five feet tall today I'm eight feet ten And every time I fall down stairs I float right up again When someone turned the lights on me it like to drove me blind I woke up in Belle Vue but I left my mind behind I'm a gal who blew a fuse I've got those blow top blues","Blondie","Forgive And Forget","Blondie:No_Exit_(1999)","New Wave","1999"
"287",287,100253,"Men at arms on the ocean wave Hell bent on death and rape Leave now before its too late In the mist when the thunder strikes We descend from the Northern Lights Ride the storm and see what bites Odin calls from across the sea Freya sends her love to me The best things in life are free Thor lends his strength to all Loki answers our wolfen call Tyr laughs as they fall We come in our longships We dont take any bullshit We just take all of your shit Viking Pirates of Doom We come to your island We come to break the silence We come for sex and violence Viking Pirates of Doom The storm our brother and the sea our bride Pain and death another wave to ride We hail those whove died In the mist glory awaits Hand in hand with Hels black gates Only the Norns know our fates Odin Odin Odin","Blondie","Screaming Skin","Blondie:No_Exit_(1999)","New Wave","1999"
"2485",2485,102231,"Wanted children crying from the Backbones of their fathers Wanted children longing for the Bossom of their mothers rep Now didn't JAH create the earth And to the waters did he give birth He divided the waters from the land Rivers for land and seas for sand Then said he let there be fight And he made the darkness bright Greater lights to rule by day Lesser tights to rule by night Nothing or no one can change them Adjust or even rearrange them These creations were here from the beginrung So accept them for what they're worth For all good thing in life are free Like liberty for you and for me As the freedom of a raging storm Let the little children born Wanted children crying from the Backbones of their fathers Wanted children longin for the Bossom of their mothers rep And so JAH created man Male and female according to his plan All creatures both great and small And in pairs he create them all To man and woman he gave all dominion Over all creatures that live on creation To multiply and replenish the earth By coming together and so give birth So who are you to try them price them and sell them Who are you to slave them and to Kill them before them born Who are you to hunt them down Run them down and gun them down Who are you to Judge them and to Put thern to shame and scorn Wanted children crying from the Backbone of their fathers Wanted children longin for the Bossom of their mothers rep","Corey_Hart","Chase The Sun","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2565",2565,102303,"I close your eyes with my lips You are naked in a black lake Your white skin shines like a cloud On the blue and lovely sky The room is dark and here is the candlelight It shimmers all through the darkness My shivering hand touches your cold skin Why are you leaving I close your eyes with my lips You are laying naked in a black lake Your white skin shines like a cloud On the blue and lovely sky I close your eyes with my lips My tears are falling on your skin And as they dry I feel an end I leave the room into the night","Corey_Hart","I Am By Your Side","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2566",2566,102304,"Fallen Angel I want your flesh Fallen Angel I need your flesh There's a weight from deep within The blood on my lips it tastes like sin I like your pale skin I close your eyes Nothing to see in this world of lies You were so beautiful but not mine But on this night it was no crime To show you my world and so you can see I love you when you're dead it's no difference to me","Corey_Hart","It Ain't Enough","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2567",2567,102305,"Remember the night without misery Drag me down from Heaven Morning full of emptiness Seelenkrank We are standing at the gate Is this the meaning of the end Painful Fading like a flower Cold will break you Will break your faith Innocence This is painful innocence We lost our passion Darkness was waiting for us Songtexte Promises were broken Is there an end of the lie We closed we closed our eyes Songtext Waiting for tranquility It seems like blasphemy","Corey_Hart","Spot You In A Coalmine","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2568",2568,102306,"Mistress of the dark There's no escape From your eternal lust Seelenkrank You try to convince me in my dreams Before you leave Mistress You're in my thoughts You're in my blood Of I feel this longing Inside my broken heart But I know at the end of it all The I stay here alone Do you really exist Or is it just your pleasure Dark That makes me want you to That makes me want you to exist Songtexte Are you an angel of the dark side Or will you ever be just a reflection Songtext Of my darkest dreams","Corey_Hart","Take My Heart","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2569",2569,102307,"I like to feel your skin Your warm embrace I like to hold you tight To see your face I want to be your slave I am your joy You can do what ever you want I'm your private joy So please play with me Please be kind Please play with me My body is yours I want to be your slave I am your joy You can do what ever you want I'm your private joy Devotion sweetest devotion Pain bloody pain Punishment capital punishment Love deadly love","Corey_Hart","Boy In The Box","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2570",2570,102308,"Your burning eyes Force me to the ground You're telling lies Madness is in your words Your poisoned smile The gate to my desires Your pale white skin I wanne taste your sweat You are the perfect lie You're so unreal You are the perfect lie You are so real I don't want your body I want your mind I don't want to sleep with you I want your soul I don't want to be your toy I want your love Your are not made for me I want your death Nothing behind your mask Nothing but a little girl Nothing that you can hide Not for me","Corey_Hart","Bang! (Starting Over)","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2571",2571,102309,"Like sung by elvis Take the ribbons from your hair Shake it loose and let it fall Lay it soft against you skin Like the shadows on the wall Come and lay here by my side Tell the Earth upon you lied All I'm takin' is your time Help me make it through the night I don't know what's right or wrong I don't try to understand Let the devil take tomorrow 'Cause tonight I need a drink Yesterday's dead and gone And tomorrow's out of sight Yes it saddenss me long Help me make it through the night Yes it saddenss me long Help me make it through the night Like sung by Kristoferson original Take the ribbon from my hair Shake it loose and let it fall Layin' soft against your skin Like the shadow on the wall Come and lay down by my side Till the early mornin' light All I'm takin' is your time Help me make it through the night I don't care what's right or wrong 'n' I won't try to understand Let the devil take tomorrow Lord tonight I need a friend Yesterday is dead and gone And tomorrow's out of sight And it's sad to be alone Help me make it through the night And it's sad to be alone Help me make it through the night I don't want to be alone Help me make it through the night","Corey_Hart","Can't Help Falling In Love","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2573",2573,102310,"Go away from my window Leave at your own chosen speed I'm not the one you want babe I'm not the one you need You say you're lookin' for someone Never weak but always strong To protect you and defend you Whether you are right or wrong Someone to open each and every door But it ain't me babe No no no It ain't me babe It ain't me that you're looking for Go lightly from the ledge babe Go lightly on the ground I'm not the one you want babe I will only let you down You say you're lookin' for someone Who will promise never to part Someone to close his eyes for you Someone to close his heart Someone who will die for you and more But it ain't me babe No no no It ain't me babe It ain't me that you're looking for Go melt back in to the night babe Everything inside is made of stone There's nothin' in here that's a moving And anyway I'm not alone You say you're lookin' for someone To pick you up each time you fall To gather flowers constantly And to come each time you call A lover for your life and nothing more But it ain't me babe No no no It ain't me babe It ain't me that you're looking for","Corey_Hart","Eurasian Eyes","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2574",2574,102311,"Turner I used to jump when you called And I would cry when you leave I had to plan every move Just to keep you pleased But I don't care no more About nothing you do Now I'm goin' shoppin' Finger fingerpoppin' on you I got bags under my eyes From losin' sleep You gave me malnutrition 'Cause I just couldn't eat But I don't care no more About nothin' you do boo hoo 'Cause I'm goin' shoppin' Finger fingerpoppin' on you You never bought me no clothes I had to steal what I wear I wore shoes so long 'Til my feet were bare But I don't care no more About nothin' you do oh no And I'm goin' shoppin' Finger fingerpoppin' on you","Corey_Hart","Don't Take Me To The Racetrack","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2575",2575,102312,"Albert Adler Cooke Don't know much about history Don't know much biology Don't know much about a science book Don't know much about the French I took But I do know that I love you And I know that if you love me too What a wonderful world this would be Don't know much about geography Don't know much trigonometry Don't know much about algebra Don't know what a slide rule for But I know that one and one is two And if this one could be with you What a wonderful world this would be I don't claim to be an Astudent But I'm tryin' to be Maybe by being an Astudent baby I can win your love for me I don't claim to be an Astudent But I'm tryin' to be Maybe by being an Astudent baby I can win your love for me Don't know much about history Don't know much biology Don't know much about science books Don't know much about the French I took But I do know that I love you And I know that if you love me too What a wonderful world this would be What a wonderful world this would be What a wonderful world this would be What a wonderful world this would be","Corey_Hart","Never Surrender","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2576",2576,102313,"The other night dear as I lay sleeping I dreamed I held you in my arms When I awoke dear I was mistaken So I hung my head and cried You are my sunshine my only sunshine You make me happy when skies are grey You'll never know dear how much I love you Please don't take my sunshine away I'll always love you and make you happy If you will only say the same But if you leave me to love another You'll regret it all someday You are my sunshine my only sunshine You make me happy when skies are grey You'll never know dear how much I love you Please don't take my sunshine away You told me once dear you really loved me And no one else could come between But now you've left me and love another You have shattered all my dreams You are my sunshine my only sunshine You make me happy when skies are grey You'll never know dear how much I love you Please don't take my sunshine away","Corey_Hart","Sunglasses At Night","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2577",2577,102314,"Nelson Well hello there My it's been a long long time How I'm doing I guess I'm doing fine It's been so long now Yet it seems that it was only yesterday Gee ain't funny how time slips away How's your new love I hope he's doing fine Heard you told him That you'd love him till the end of time Now that's the same thing that you told me Oh it seems like just other day Gee ain't funny how time slips away Gotta go now Guess I'll see you around Don't know when though Never know when I'll be back in town But remember what I tell you That in time you're gonna pay And it's surprising how time slips away","Corey_Hart","Everything In My Heart","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2578",2578,102315,"South If I could be you and you could be me for just one hour If we could find a way to get inside each other's minds If you could see you through my eyes instead of your ego I believe you'd be surprised to see that you'd been blind Walk a mile in my shoes Walk a mile in my shoes And before you abuse Criticise and accuse Walk a mile in my shoes Now the whole world you see around you is just a reflection And the law of Karma says you reap just what you sow So unless you've lived a life of total perfection You'd better be careful of every stone that you should throw And yet we spend the day throwing stones at one another 'Cause I don't think or wear my hair the same way you do Well I may be common people but i'm your brother And when you strike out and try to hurt me it's ahurtin you There are people on reservations and out in the ghettos And brother there but for the grace of God go you and I If I only had the wings of a little angel Don't you know I'd fly to the top of the mountain and then I'd cry","Corey_Hart","A Little Love","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"2579",2579,102316,"Home from work Our Juliet Clears her morning meal She dabs her skin With pretty smells Concealing to appeal I will make my bed She said But turned to go Can she be Late for her Cinema show Cinema show Romeo locks His basement flat And scurries up the stair With head held high And floral tie A weekend millionaire I will make my bed With her tonight He cries Can he fail Armed with his Chocolate surprise Take a little trip back With Father Tiresias Listen to the old one speak Of all he has lived through I have crossed between the poles For me there's no mystery Once a man Like the sea I raged Once a woman Like the Earth I gave But there is in fact More earth than sea Take a little trip back With Father Tiresias Listen to the old one speak Of all he has lived through I have crossed between the poles For me there's no mystery Once a man Like the sea I raged Once a woman Like the Earth I gave But there is in fact More earth than sea","Corey_Hart","In Your Soul","Corey_Hart:The_Singles_(1991)","New Wave","1991"
"3358",3358,103017,"You tell me that it's over You tell me that we're through Now you come back with your same ole line But I don't want hear it anymore There was a time when I wanted you But I've slowly felt a change I'd be the fool again if I just had the time But I don't wanna hear it anymore I been hurt so many times before I told myself that last time I wasn't gonna be hurt no more By you There was a time I wanted you But I've slowly felt a change I'd be the fool again but I don't have the time I don't wanna hear it anymore 'Cause it's over babe oh yea Just let the cards fall where they may I'll close this door and walk away 'Cause I don't wanna hear it anymore No I don't wanna hear it anymore","Corey_Hart","Slowburn","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3359",3359,103018,"Cold November cold November That's me Cloudy weather Unable to get myself together You're wastin' your life woman Thinkin' it's gonna get better Sometimes it's better On a sunshiney day But then that cold November Comes and chases happy away","Corey_Hart","Art Of Color","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3360",3360,103019,"Well there's sidewalks and cement And it's concrete evidence That a country boy ain't got no Business livin' in the city When there's holes in your walking shoes They're just dues that you pay To get yourself an education The big city way And when you've learned enough You know that livin' on the street Will make your heart as hard as The sidewalk under you feet I wonder how long I'll last Just driftin' this way I wonder if I'll ever find home I can't help thinkin' that break I need Is just around the corner But there don't seem to be much call for a Man with a sidewalk diploma Well there's high rent and low rent And there's not much in between For a drifin' drugstore cowboy Can't keep his body clean And you know I could sure use something Soft and warm Like a sweet woman waiting for me Down on the farm","Corey_Hart","Kisses On The Train","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3362",3362,103020,"Too much Too much We've already taken to much Everybody's gonna have to give some Or He's gonna give us up Take a look at the city They're all pretty much the same They all got something called downtown They all got a street called Main They all got lots of people They all got lots of names They all got different faces And they're all playing different games Too much Too much We've already taken too much We gonna have to open up our heart's just a little If we ever gonna get in touch Lord God it's a pity Ain't nothin' but a cryin' shame Everybody wants to take glory But nobody wants the blame Now when your journey's over And you're stading before the Man How you gonna look Him in the eye And say Lord I done it all in Jesus' Name Too much","Corey_Hart","Can't Stand Losin' You","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3363",3363,103021,"Lucky Boy kept a secret rendezvous Whoa he didn't know Where all them hot kisses might lead him to Yeah but Sweet Suzie she knew yeah Lucky Boy's ramblin' days are though Now and then he remembers when There was just him to do all the thinkin' Whoa but he found a four leaf clover And Lucky Boy's ramblin' day are over Yeah but he don't mind deep down inside That boy's really laughin' He said just one touch o' my baby's love is Worth five thousand miles o' good travelin' Whoa and he found a four leaf clover And Lucky Boy's ramblin' days are over Yeah but he didn't mind Deep down inside that boy's really laughin' He said just one touch o' my baby's love is Worth five thousand miles o' good travelin' Yeah and Sweet Suzie she knew yeah And Lucky Boy's ramblin' days ar though Oh Lucky Boy's ramblin' days are though Lucky Boy's ramblin' days are through","Corey_Hart","Diamond Cowboy","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3364",3364,103022,"You're scarin' me to death baby with your jealous heart This ain't no way for our romance to start You keep on telling me to explain myself 'Bout something one of your friends said About me and somebody else Your loose mouth friends honey Ain't doin' you no good And some of them gals you run with Wouldn't help you if they could Your scarin' me to death baby with your jealous heart This ain't no way for our romance to start Take it easy baby don't be so hard on yourself You're making me nervous causin' danger to my health Now what you do is your business 'Til it starts givin' me chills If you don't leave me alone I'm gonna find somebody that will","Corey_Hart","Icon","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3365",3365,103023,"Oh my Baby don't you cry over me anymore Oh my you gonna have to learn to get by I've been down before And I'll probably get down some more It seems like I've been doin' alright wihout you Listen to me you gonna have to set me free Woman stop your cryin' and go and and let me be Go out and find yourself someone 'Cause I can't help you none It seems like you'd be doing much better without me We cant talk about the things we need to talk about Baby 'cause we don't see nothing the same We tried to compromise and maybe we both tried A little too much to change","Corey_Hart","Rain On Me","Corey_Hart:Bang!_(1990)","New Wave","1990"
"3500",3500,103145,"Rain falls I fix my eyes Let go of the focus And I blur out all the lines Just to remember remember Crying 'cause it's not my fault Water through my lashes Look just like Christmas lights And I still remember remember Cold and shivering Cold and shivering Cold and shivering warm Ooh ooh Sing please rock me to sleep Quiet as a canyon Up under heaven's eaves I surrender surrender Downstairs the furnace swells Safe from all the horrors In your stinging velvet arms And I surrender surrender Cold and shivering Cold and shivering Cold and shivering warm Cold and shivering Cold and shivering Cold and shivering warm","A_House","I Am The Greatest","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3695",3695,103320,"1 2 3 4 Paper pockets was my pastel And from marching maps my finger nails I scratching for a brave Thats not been wrong yet Thats not been wrong yet 'Cause I was a child with fits of fury I was a child with fits of fury And I didnt love my god less And I didnt need my full skirt Oh I didnt love my god less And I didnt need my full skirt To beg green gypsy eyes To beg green gypsy eyes But Ive seen you in narrow streets Ive turned some rocky ground So I prune my trees back For a stand tall garden And Ive counted some closets So I counted some closets But now I'll knock my Now I'll knock my Sorrow shadows I'll knock my sorrow shadows 'Cause I was a child with fits of fury Oh I was a child with fits of fury And I didnt love my god bless And I didnt need my full skirt Oh I didnt love my god bless And I didnt need my full skirt To beg green gypsy eyes To beg green gypsy eyes Do you see this holy holy spirit Round my neck Do you see I wear This holy spirit round my neck But its for my sister swallow So play me pardon Father son Play me pardon Father son Father son Father son 'Cause I was a child with fits of fury Oh I was a child with fits of fury And I didnt love my god bless And I didnt need my full skirt Oh I didnt love my god bless And I didnt need my full skirt To beg green gypsy eyes To beg green gypsy eyes To beg green gypsy eyes","A_House","I Wanted Too Much","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3696",3696,103321,"My tired feet My tired tried feet My tired feet Oh my tired feet My tired feet brought me to that red boat So still and foreign waters And although I've never been here Oh although I've never been here I know that here I've swam before Here I've swam before And soon I came Oh so soon I came Soon I came Oh so soon I came Soon I came to the silent place of choir voices In excelsis Deo Deo Where Jesus he keeps the streets out Jesus he keeps the heat out Jesus he keeps the noise out And here oh here I've sung before Here I've sung before I know that here I've sung before Here I've sat I've run I've walked I've cried I've died I've slept in 'til noon and I've laughed and I've sighed I know that here I've sung before Oh here I've sung before I know that here I've sung before Here I've sung before","A_House","Take It Easy On Me","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3697",3697,103322,"While some folks row way up to heaven I'm gonna sing the pirate's gospel I'm gonna sow these feet for dancin' I'm gonna keep my eyes wide open Yo ho yo ho Yo ho ho Yo ho yo ho ho Yo ho yo ho Sing the pirate's gospel Add another flame To our forest Where big bellied whales Keep us chanting We're slapping fireflies For tiny dancers Where the children creep Until the morning When the sun does seep Into our fair flesh Until the fingernails Will take us home Yo ho yo ho Yo ho ho Yo ho yo ho ho Yo ho yo ho Sing the pirate's gospel While some folks pray Their path to Jesus We're gonna sing The pirate's gospel We're gonna sow Our feet for dancing We're gonna keep Our eyes wide open We're gonna sing The pirate's gospel We're gonna chant The pirate's gospel You'll find us clap The pirate's gospel Yo ho yo ho Yo ho ho Yo ho yo ho ho Yo ho yo ho Sing the pirate's gospel Sing the pirate's gospel","A_House","I Am Afraid","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3698",3698,103323,"That sidewalk is a river that I fished dry Oh that sidewalk is a river that I fished dry And now it's my heavy hand filling the brim And it hauled me out of their brim But my coat of arms burns stronger still But my coat of arms burns stronger still And foreign tongue ties me here Foreign tongue ties me here So hang my slips out with the words between the lines Oh hang my slips out with the words between the lines And bow my head to their ears Bow my head to those ears I'll never tiptoe across my home ever again I'll never tiptoe across my home ever again Ever again Ever again And foreign tongue ties me here Foreign tongue ties me here","A_House","When I First Saw You","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3699",3699,103324,"I've been knockin' on that door in my sleep Fighting the fireplace glow Knockin' on that door in my sleep Fighting the fireplace glow To keep me away To keep me away from home Papa get the rifle from its place above the French doors They're comin' from the woods Oh They're comin' from the woods And mama you're running too Oh My mama you're running too Brother I'm so sorry that you watched the paintings burn I've been holding onto the gold When letting go would free my hand And I've been tying your tongue in a knot Oh I've been tying your tongue in a knot To wrap this death To wrap this death in a sheet Papa get the rifle from its place above the French doors They're comin' from the woods Oh They're comin' from the woods And mama you're running too Oh My mama you're running too Brother I'm so sorry that you watched the paintings burn I can't hide the dirty paths down that carpet anymore There were too many heavy boots There were too many heavy boots There were too many big black boots And there were too many little brown shoes Marching through So I'm counting it to the sky Oh I'm counting it to the sky And moving back to face the lack of home","A_House","Blind Faith","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
"3700",3700,103325,"Can you see truth in a smoke machine Can you see truth in a smoke machine Can you see truth in a smoke machine Can you see truth in a smoke machine When the tower is complete We'll climb up to the top And look across the sea But there's nothing to be found Only shadows of ideas In the world of the sun","A_House","Endless Art","A_House:I_Am_The_Greatest_(1991)","New Wave","1991"
