release_date,peak,artist,track,label
Feb 25,85,Lil Rob,Bring Out The Freak In You,Upstairs Digital
Feb 25,86,Coldplay,Talk,Capitol Digital
Feb 25,97,Nickelback,Animals,Roadrunner Digital
Mar 4,1,Chamillionaire Featuring Krayzie Bone,Ridin’,Universal 006026
Mar 4,21,Three 6 Mafia,Poppin’ My Collar,Hypnotize Minds 83673
Mar 4,35,E-40 Featuring Keak Da Sneak,Tell Me When To Go,Sick Wid’ It Digital
Mar 4,52,Willie Nelson,Cowboys Are Frequently Secretly (Fond Of Each Other),Lost Highway Digital
Mar 4,59,Aly &amp; AJ,Rush,Hollywood Digital
Mar 11,4,LL Cool J Featuring Jennifer Lopez,Control Myself,Def Jam 006285
Mar 11,6,Nick Lachey,What’s Left Of Me,Jive Digital
Mar 11,35,50 Cent &amp; Olivia,Best Friend,G-Unit 006404
Mar 11,58,Madonna,Sorry,Warner Bros 42892
Mar 11,60,Prince,Black Sweat,NPG/Universal 006371
Mar 11,87,Him,Wings Of A Butterfly,Sire 38656
Mar 18,3,T.I.,What You Know,Grand Hustle 94251
Mar 18,7,Panic! At The Disco,I Write Sins Not Tragedies,Decaydance Digital
Mar 18,15,Ne-Yo,When You’re Mad,Def Jam 006317
Mar 18,19,Nickelback,Savin’ Me,Roadrunner Digital
Mar 18,33,Sheryl Crow &amp; Sting,Always On Your Side,A&amp;M Digital
Mar 18,35,Paul Wall,Girl,Swishahouse/Asylum Digital
Mar 18,43,Jason Aldean,Why,Broken Bow Digital
Mar 18,71,Anthony Hamilton,Can’t Let Go,So So Def Digital
Mar 25,20,KT Tunstall,Black Horse &amp; The Cherry Tree,Relentless Digital
Mar 25,51,LeAnn Rimes,Something’s Gotta Give,Asylum-Curb Digital
Mar 25,52,Avant,4 minutes,Magic Johnson 005573
Mar 25,56,Bo Bice,The Real Thing,RCA Digital
Mar 25,63,Jack Ingram,Wherever You Are,Big Machine Digital
Mar 25,64,Bird York,In The Deep,Blissed Out/Superb Digital
Apr 1,1,Shakira Featuring Wyclef Jean,Hips Don’t Lie,Epic 84467
Apr 1,31,Shawnna,Gettin’ Some,DTP/Def Jam 006318
Apr 1,41,Pearl Jam,World Wide Suicide,J Digital
Apr 1,42,Dierks Bentley,Settle For A Slowdown,Capitol Digital
Apr 1,77,Panic! At The Disco,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Decaydance Digital
Apr 1,88,Yeah Yeah Yeahs,Gold Lion,Dress Up 006336
Apr 1,90,Remy Ma,Conceited (There’s Something About Remy),SRC/Universal 006030
Apr 1,94,10 Years,Wasteland,Republic/Universal Digital
Apr 8,7,Lil Jon Featuring E-40 &amp; Sean Paul Of The YoungBloodz,Snap Yo Fingers,BME 2841
Apr 8,55,"Afters, The",Beautiful Love,Simple/INO Digital
Apr 8,65,Fall Out Boy,"A Little Less Sixteen Candles, A Little More Touch Me",Fueled By Ramen/Island Digital
Apr 8,69,Faith Hill,The Lucky One,Warner Bros. Digital
Apr 8,100,Wisin &amp; Yandel,Llame Pa’ Verte,Machete Digital
Apr 15,3,"Fray, The",How To Save A Life,Epic Digital
Apr 15,3,Yung Joc,It’s Goin’ Down,Block/Bad Boy South 94249
Apr 15,21,Christina Milian Featuring Young Jeezy,Say I,Island 006316
Apr 15,37,Tim McGraw,When The Stars Go Blue,Curb Digital
Apr 15,61,Ghostface Killah Featuring Ne-Yo,Back Like That,Def Jam 006317
Apr 15,71,Joe Nichols,Size Matters (Someday),Universal South 005572
Apr 15,79,Anais,Lo Que Son Las Cosas,Univision Digital
Apr 15,85,Godsmack,Speak,Universal Republic Digital
Apr 15,94,Juanes,Lo Que Me Gusta A Mi,Surco Digital
Apr 22,4,Fort Minor Featuring Holly Brook &amp; Jonah Matranga,Where’d You Go,Machine Shop Digital (Warner Bros.)
Apr 22,6,Red Hot Chili Peppers,Dani California,Warner Bros. Digital
Apr 22,10,Field Mob Featuring Ciara,So What,DTP 006546
Apr 22,15,Chris Brown Featuring Lil’ Wayne,Gimme That,Jive 006315
Apr 22,32,Mary J. Blige Featuring Brook-lyn,Enough Cryin’,Matriach 007083
Apr 22,51,Goo Goo Dolls,Stay With You,Warner Bros. Digital
Apr 22,56,Nine Inch Nails,Every Day Is Exactly The Same,Nothing 006589
Apr 22,64,Keith Anderson,Every Time I Hear Your Name,Arista Nashville Digital
Apr 22,73,Jagged Edge,Good Luck Charm,Columbia Digital
Apr 29,3,Cassie,Me &amp; U,Next Selection/Bad Boy 94269
Apr 29,12,Ashley Parker Angel,Let U Go,Blackground Digital
Apr 29,29,T.I.,Why You Wanna,Grand Hustle 94271 (Atlantic)
Apr 29,31,Blue October,Hate Me,Universal Motown Digital
Apr 29,34,Kenny Chesney,Summertime,BNA Digital
Apr 29,55,Angels And Airwaves,The Adventure,Suretone Digital (Geffen)
Apr 29,79,Mariah Carey Featuring Snoop Dogg,Say Somethin’,Island Digital
Apr 29,85,George Strait,The Seashores Of Old Mexico,MCA Nashville Digital
Apr 29,87,Lil Wayne,Hustler Musik,Cash Money  006145
Apr 29,99,Michael Buble,Save The Last Dance For Me,143 Digital (Reprise)
May 6,4,Dixie Chicks,Not Ready To Make Nice,Columbia Digital
May 6,31,LeToya,Torn,Capitol 50757
May 6,45,Brad Paisley,The World,Arista Nashville Digital
May 6,45,Jamie Foxx Featuring Twista,DJ Play A Love Song,J Digital
May 6,48,Taking Back Sunday,MakeDamnSure,Warner Bros. Digital
May 6,48,Missy Elliott,We Run This,The Gold Mind 94030
May 6,49,Carrie Underwood,Don’t Forget To Remember Me,Arista Digital
May 6,60,Three Days Grace,Animal I Have Become,Jive Digital
May 13,6,Rihanna,Unfaithful,SRP/Def Jam Digital
May 13,24,AFI,Miss Murder,Tiny Evil Digital
May 13,47,Phil Vassar,Last Day Of My Life,Arista Nashville Digital
May 20,1,Nelly Furtado Featuring Timbaland,Promiscuous,Mosley 06818 (Geffen)
May 20,2,Gnarls Barkley,Crazy,Downtown 70002
May 20,12,Cherish Featuring Sean Paul Of The YoungBloodz,Do It To It,So’nuff 56333
May 20,16,Kelis Featuring Too $hort,Bossy,LaFace 78811
May 20,41,Paula DeAnda Featuring Baby Bash,Doing Too Much,Arista Digital
May 20,54,Rick Ross,Hustlin’,Slip-N-Slide/Def Jam 006463
May 20,59,Buckcherry,Crazy Bitch,Eleven Seven Digital
May 20,61,Gary Allan,Life Ain’t Always Beautiful,MCA Nashville Digital
May 20,80,Jewel,Again And Again,Atlantic Digital
May 20,88,Shinedown,I Dare You,Atlantic Digital
May 27,3,"Pussycat Dolls, The Featuring Big Snoop Dogg",Buttons,A&amp;M 006800
May 27,13,E-40 Featuring T-Pain &amp; Kandi Girl,U And Dat,Sick Wid’ It 42957
May 27,50,Rascal Flatts,Me And My Gang,Lyric Street Digital
May 27,54,"Raconteurs, The","Steady, As She Goes",Third Man 27846
Jun 3,22,Red Hot Chili Peppers,Snow ((Hey Oh)),Warner Bros. Digital
Jun 3,5,Snow Patrol,Chasing Cars,Polydor/A&amp;M Digital
Jun 3,33,Rodney Atkins,If You’re Going Through Hell (Before The Devil Even Knows),Curb Digital
Jun 3,45,Anna Nalick,Breathe (2 A.M.),Columbia Digital
Jun 3,53,Toby Keith,A Little Too Late,Show Dog Nashville Digital
Jun 3,58,Ashley Parker Angel,Soundtrack To Your Life,Blackground Digital
Jun 3,92,Craig Morgan,I Got You,Broken Bow Digital
Jun 3,97,India.Arie,I Am Not My Hair,Universal Motown 005867
Jun 10,3,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,VP 94413 (Atlantic)
Jun 10,34,"Wreckers, The",Leave The Pieces,Maverick/Warner Bros. Digital
Jun 10,41,Busta Rhymes Featuring will.i.am &amp; Kelis,I Love My B****,Aftermath 007081
Jun 10,43,Chris Daughtry,Wanted Dead Or Alive,RCA/S Digital
Jun 10,58,Little Big Town,Bring It On Home,Equity Digital
Jun 10,69,Taylor Hicks,Takin’ It To The Streets,RCA/S Digital
Jun 10,80,Dem Franchize Boyz,Ridin’ Rims,So So Def 63550
Jun 10,80,Dashboard Confessional,Don’t Wait,Vagrant Digital
Jun 17,7,Rascal Flatts,Life Is A Highway,Walt Disney Digital
Jun 17,10,Young Dro Featuring T.I.,Shoulder Lean,Grand Hustle 94282 (Atlantic)
Jun 17,78,Lupe Fiasco,Kick Push,1st &amp; 5th 94260
Jun 17,86,Mary J. Blige And U2,One,Matriarch Digital (Geffen)
Jun 17,93,Kenny Rogers,I Can’t Unlove You,Capitol Digital
Jun 24,6,Christina Aguilera,Ain’t No Other Man,RCA 86581
Jun 24,7,Ne-Yo,Sexy Love,Def Jam 007342
Jun 24,57,Natasha Bedingfield,Single,Epic Digital
Jun 24,59,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross &amp; Pitbull",Holla At Me,Terror Squad 4116
Jun 24,77,OutKast,Mighty “O”,LaFace Digital
Jun 24,90,Rakim &amp; Ken-Y,Down,Pina Digital
Jun 24,92,Ice Cube,Why We Thugs,Lench Mob Digital
Jun 24,93,Jeannie Ortega Featuring Papoose,Crowded,Hollywood 164170
Jun 24,93,Don Omar,Angelito,VI Digital
Jun 24,100,James Blunt,High,Custard Digital (Atlantic)
Jul 1,1,Taylor Hicks,Do I Make You Proud,Arista 85833
Jul 1,4,Beyonce Featuring Jay-Z,Deja Vu,Columbia 89684
Jul 1,9,Chingy Featuring Tyrese,Pullin’ Me Back,Slot-A-Lot 69129
Jul 1,40,Steve Holy,Brand New Girlfriend,Curb Digital
Jul 1,77,Cham Featuring Alicia Keys,Ghetto Story Chapter 2,Madhouse 94410
Jul 8,18,Paris Hilton,Stars Are Blind,Warner Bros. 42967
Jul 8,25,Janet Duet With Nelly,Call On Me,Virgin 72823
Jul 8,53,Cheyenne Kimball,Hanging On,Daylight Digital (Epic)
Jul 8,76,Trace Adkins,Swing,Capitol Digital
Jul 8,78,Keane,Is It Any Wonder?,Interscope Digital
Jul 8,79,Korn,Coming Undone,Virgin Digital
Jul 15,12,Katharine McPhee,Somewhere Over The Rainbow,RCA 86129
Jul 15,14,Jessica Simpson,A Public Affair,Epic Digital
Jul 15,17,Yung Joc Featuring Brandy ‘Ms. B.’ Hambrick,I Know You See It,Block/Bad Boy South 94365
Jul 15,43,Josh Turner,Would You Go With Me,MCA Nashville Digital
Jul 15,60,Katharine McPhee,My Destiny,RCA 86129
Jul 15,64,Corinne Bailey Rae,Put Your Records On,Capitol Digital
Jul 15,83,Jake Owen,Yee Haw,RCA Nashville Digital
Jul 22,1,Justin Timberlake,SexyBack,Jive 88175
Jul 22,85,Eric Church,How ‘Bout You,Capitol Digital
Jul 22,91,Pitbull,Bojangles,Diaz Brothers 2821
Jul 22,94,Big &amp; Rich,8th Of November,Warner Bros Digital
Jul 22,100,Tom Petty,Saving Grace,American Digital (Warner Bros)
Jul 29,14,John Mayer,Waiting On The World To Change,Aware Digital
Jul 29,21,KT Tunstall,Suddenly I See,Relentless/Virgin Digital
Jul 29,3,Hinder,Lips Of An Angel,Universal Republic Digital
Jul 29,35,Mario Vazquez,Gallery,Arista Digital
Jul 29,40,Five For Fighting,The Riddle,Aware/Columbia Digital
Jul 29,70,Faith Hill,Sunshine And Summertime,Warner Bros. Digital
Jul 29,75,Lustra,Scotty Doesn’t Know,Xoff Digital
Aug 5,24,"Red Jumpsuit Apparatus, The",Face Down,Virgin Digital
Aug 5,1,Fergie,London Bridge,will.i.am/A&amp;M 007809
Aug 5,8,Nickelback,Far Away,Roadrunner Digital
Aug 5,21,Ashlee Simpson,Invisible,Geffen Digital
Aug 5,37,Lyfe Jennings,S.E.X.,Columbia Digital
Aug 5,57,Pharrell Featuring Kanye West,Number One,Star Trak 007134
Aug 5,62,Lionel Richie,I Call It Love,Island 007907
Aug 5,65,30 Seconds To Mars,The Kill (Bury Me),Immortal Digital
Aug 5,66,Brooks &amp; Dunn with Sheryl Crow &amp; Vince Gill,Building Bridges,Arista Nashville Digital
Aug 5,79,Audioslave,Original Fire,Interscope Digital
Aug 5,82,Mana,Labios Compartidos,Warner Latina Digital
Aug 5,83,Hannah Montana,Who Said,Walt Disney Digital
Aug 5,99,Billy Currington,"Why, Why, Why",Mercury Digital
Aug 11,5,Harry Anthony &amp; James F. Harrison,Let the Lower Lights be Burning,Edison 9272
Aug 12,7,Ciara Featuring Chamillionaire,Get Up,LaFace/Jive 88451
Aug 12,50,Breaking Benjamin,The Diary Of Jane,Arista Digital
Aug 12,62,Shareefa Featuring Ludacris,Need A Boss,DTP 007303
Aug 12,92,Hannah Montana,Best Of Both Worlds,Walt Disney Digital
Aug 19,39,Stone Sour,Through Glass,Roadrunner Digital
Aug 19,7,Jibbs,Chain Hang Low,Geffen 007034
Aug 19,33,Brooke Hogan Featuring Paul Wall,About Us,SMC/Sobe Digital
Aug 19,35,George Strait,Give It Away,MCA Nashville Digital
Aug 19,48,Monica Featuring Dem Franchize Boyz,Everytime Tha Beat Drop,J 87245
Aug 26,1,Ludacris Featuring Pharrell,Money Maker,DTP/Def Jam 007488
Aug 26,10,Chris Brown,Say Goodbye,Jive Digital
Aug 26,14,"Killers, The",When You Were Young,Island 007884
Aug 26,34,Heartland,I Loved Her First,Lofton Creek 97361
Aug 26,43,Frankie J. Featuring Mannie Fresh &amp; Chamillionaire,That Girl,Columbia 700800
Aug 26,48,Dierks Bentley,Every Mile A Memory,Capitol Nashville Digital
Aug 26,78,Omarion,Entourage,T.U.G. Digital
Sep 2,3,JoJo,Too Little Too Late,Da Family/Blackground Digital
Sep 2,8,Danity Kane,Show Stopper,Bad Boy Digital
Sep 2,10,Evanescence,Call Me When You’re Sober,Wind-up Digital
Sep 2,50,Red Hot Chili Peppers,Tell Me Baby,Warner Bros. Digital
Sep 2,58,Petey Pablo,Show Me The Money,Jive Digital
Sep 2,71,"Game, The Featuring Junior Reid",It’s Okay (One Blood),Geffen 007799
Sep 9,53,"Cheetah Girls, The",Strut,Walt Disney Digital
Sep 9,64,Danity Kane,Sleep On It,Bad Boy Digital
Sep 9,77,Lonestar,Mountains,BNA Digital
Sep 9,78,Danity Kane,Ride For You,Bad Boy Digital
Sep 9,80,Pat Green,Feels Just Like It Should,BNA Digital
Sep 9,85,"Cheetah Girls, The",The Party’s Just Begun,Walt Disney Digital
Sep 9,95,OutKast Featuring Scar &amp; Sleepy Brown,Morris Brown,LaFace Digital
Sep 16,8,Carrie Underwood,Before He Cheats,Arista Digital
Sep 16,9,Diddy Featuring Nicole Scherzinger,Come To Me,Bad Boy 94423
Sep 16,21,Birdman &amp; Lil Wayne,Stuntin’ Like My Daddy,Cash Money 007305
Sep 16,31,Keith Urban,Once In A Lifetime,Capitol Nashville Digital
Sep 16,38,OK Go,Here It Goes Again,Capitol Digital
Sep 16,41,Kenny Chesney,You Save Me,BNA Digital
Sep 16,57,Rick Ross,Push It,Slip-N-Slide/Def Jam 007512
Sep 16,58,"Pack, The",Vans,Up All Nite/Jive Digital
Sep 16,84,Lloyd Banks Featuring 50 Cent,Hands Up,G-Unit 007415
Sep 16,100,OutKast,Idlewild Blue (Don’tchu Worry ‘Bout Me),LaFace Digital
Sep 23,10,Unk,Walk It Out,Big Oomp Digital
Sep 23,40,Taylor Swift,Tim McGraw,Big Machine Digital
Sep 23,1,Justin Timberlake Featuring T.I.,My Love,Jive 02049
Sep 23,11,Beyonce,Ring The Alarm,Columbia Digital
Sep 23,28,Rascal Flatts,My Wish,Lyric Street Digital
Sep 23,33,Jesse McCartney,Right Where You Want Me,Hollywood Digital
Sep 23,45,Webstar &amp; Young B Featuring The Voice Of Harlem,Chicken Noodle Soup,Universal Republic 007680
Sep 23,87,Nick Lachey,I Can’t Hate You Anymore,Jive Digital
Sep 30,9,My Chemical Romance,Welcome To The Black Parade,Reprise Digital
Sep 30,16,Nelly Furtado,Maneater,Mosely 007888
Sep 30,28,Lil Scrappy Featuring Young Buck,Money In The Bank,BME Digital (Reprise)
Sep 30,35,Tim McGraw,My Little Girl,Curb Digital
Sep 30,50,Aly &amp; AJ,Chemicals React,Hollywood Digital
Sep 30,55,Vanessa Hudgens,Come Back To Me,Hollywood Digital
Sep 30,66,Fort Minor Featuring Styles Of Beyond,Remember The Name,Machine Shop Digital (Warner Bros.)
Sep 30,98,Paulina Rubio,Ni Una Sola Palabra,Universal Latino Digital
Oct 7,2,Fergie Featuring will.i.am,Fergalicious,will.i.am/A&amp;M Digital
Oct 7,41,Mat Kearney,Nothing Left To Lose,Aware Digital
Oct 7,2,Akon Featuring Eminem,Smack That,SRC 007877
Oct 7,32,Sugarland,Want To,Mercury Digital
Oct 7,58,Mary J. Blige,Take Me As I Am,Matriarch Digital (Geffen)
Oct 7,64,Rob Thomas,Streetcorner Symphony,Melisma Digital
Oct 7,80,Alan Jackson,Like Red On A Rose,Arista Nashville Digital
Oct 7,99,Brown Boy,Superman,Street Noize Digital
Oct 14,6,Nickelback,Rockstar,Roadrunner Digital
Oct 14,8,"All-American Rejects, The",It Ends Tonight,Doghouse Digital
Oct 14,1,Akon Featuring Snoop Dogg,I Wanna Love You,SRC Digital
Oct 14,9,Weird Al Yankovic,White &amp; Nerdy,Way Moby/Volcano Digital
Oct 14,19,Christina Aguilera,Hurt,RCA 04456
Oct 14,41,Cherish,Unappreciated,Sho’Nuff Digital
Oct 14,90,Janet Featuring Khia,So Excited,Virgin Digital
Oct 21,5,Jim Jones,We Fly High,Diplomats 5964
Oct 21,18,Paula DeAnda Featuring The DEY,Walk Away (Remember Me),Arista 02360
Oct 21,34,Augustana,Boston,Epic Digital
Oct 21,8,Jay-Z,Show Me What You Got,Roc-A-Fella/Def Jam Digital
Oct 21,9,Bow Wow Featuring Chris Brown &amp; Johnta Austin,Shortie Like Mine,Columbia Digital
Oct 21,35,Brad Paisley,She’s Everything,Arista Nashville Digital
Oct 21,82,Weird Al Yankovic,Canadian Idiot,Way Moby/Volcano Digital
Oct 28,59,Jason Aldean,Amarillo Sky,Broken Bow Digital
Oct 28,45,Lady Sovereign,Love Me Or Hate Me (F**k You!!!!),Def Jam Digital
Oct 28,57,Montgomery Gentry,Some People Change,Columbia Digital
Oct 28,87,Jack Ingram,Love You,Big Machine Digital
Nov 4,1,Beyonce,Irreplaceable,Columbia 05024
Nov 4,47,Diddy Featuring Christina Aguilera,Tell Me,Bad Boy 94498
Nov 4,65,RBD,Tu Amor,EMI Televisa Digital
Nov 4,78,Tenacious D,The Pick Of Destiny,Epic Digital
Nov 4,97,Cassie,Long Way 2 Go,Next Selection/Bad Boy Digital
Nov 11,47,Hannah Montana,If We Were A Movie,Walt Disney Digital
Nov 11,61,John Legend,Save Room,G.O.O.D. 00960 &amp; 00961
Nov 11,67,Hannah Montana,I Got Nerve,Walt Disney Digital
Nov 11,81,Hannah Montana,Pumpin’ Up The Party,Walt Disney Digital
Nov 11,84,Hannah Montana,The Other Side Of Me,Walt Disney Digital
Nov 11,88,John Mellencamp,Our Country,Universal Republic Digital
Nov 11,89,Hannah Montana,This Is The Life,Walt Disney Digital
Nov 11,99,Hannah Montana,Just Like You,Walt Disney Digital
Nov 18,13,Fat Joe Featuring Lil Wayne,Make It Rain,Terror Squad 79182
Nov 18,14,Hellogoodbye,Here (In Your Arms),Drive-thru Digital
Nov 18,36,Rodney Atkins,Watching You,Curb Digital
Nov 18,64,Kellie Pickler,Red High Heels,BNA Digital
Nov 18,6,Gwen Stefani,Wind It Up,Interscope Digital
Nov 18,58,George Strait,It Just Comes Natural,MCA Nashville Digital
Nov 18,59,Beyonce Featuring Jay-Z,Upgrade U,Columbia Digital
Nov 18,59,Chingy Featuring Jermaine Dupri,Dem Jeans,Slot-A-Lot 68911
Nov 18,68,Plain White T’s,Hate (I Really Don’t Like You),Fearless Digital
Nov 18,94,Ruben Studdard,Change Me,J Digital
Nov 18,96,Toby Keith,Crash Here Tonight,Show Dog Nashville Digital
Nov 18,100,Toby Love Featuring Rakim &amp; Keny-Y,Tengo Un Amor,Sony BMG Norte Digital
Nov 25,1,Nelly Furtado,Say It Right,Mosley Digital
Nov 25,9,Lloyd Featuring Lil’ Wayne,You,The Inc Digital
Nov 25,28,"Pussycat Dolls, The Featuring Timbaland",Wait A Minute,A&amp;M Digital
Nov 25,11,Ciara,Promise,LaFace 02432
Nov 25,97,Bowling For Soup,High School Never Ends,Ffroe/Jive Digital
Nov 25,100,Alejandro Sanz,A La Primera Persona,Warner Latina Digital
Dec 2,2,Ludacris Featuring Mary J. Blige,Runaway Love,DTP/Def Jam Digital
Dec 2,14,Young Jeezy,I Luv It,Corporate Thugz/Def Jam 008064
Dec 2,20,Snoop Dogg Featuring R. Kelly,That’s That,Doggystyle 008211
Dec 2,46,"Game, The",Let’s Ride,Geffen Digital
Dec 2,51,U2 &amp; Green Day,The Saints Are Coming,Island Digital
Dec 2,89,+44,When Your Heart Stops Beating,Interscope Digital
Dec 9,4,Daughtry,It’s Not Over,RCA Digital
Dec 9,9,Rihanna &amp; Sean Paul,Break It Off,SRP/Def Jam Album Cut
Dec 9,79,Chris Cornell,You Know My Name,Interscope Digital
Dec 9,92,Pitbull,Ay Chico (Lengua Afuera),Famous Artists 2828
Dec 9,96,Aly &amp; AJ,Greatest Time Of Year,Hollywood Digital
Dec 9,98,Jay-Z,Kingdom Come,Roc-A-Fella/Def Jam Digital
Dec 16,12,Omarion,Ice Box,T.U.G. Digital
Dec 16,42,Chris Brown Featuring Jay Biz,Poppin’,Jive Digital
Dec 16,44,Three Days Grace,Pain,Jive Digital
Dec 16,61,Lil’ Boosie Featuring Yung Joc,Zoom,Trill/Asylum Digital
Dec 16,75,Craig Morgan,Little Bit Of Life,Broken Bow Digital
Dec 16,17,Avril Lavigne,Keep Holding On,RCA Digital
Dec 16,66,Incubus,Anna-Molly,Immortal Digital
Dec 16,84,RBD,Ser O Parecer,EMI Televisa Digital
Dec 16,85,Ying Yang Twins Featuring Wyclef,Dangerous,ColliPark 2851
Dec 16,89,Ricky Martin Featuring La Mari,Tu Recuerdo,Sony BMG Norte Digital
Dec 23,1,Justin Timberlake,What Goes Around…Comes Around,Jive Digital
Dec 23,6,Rich Boy,Throw Some D’s,Zone 4 007429
Dec 23,14,Robin Thicke,Lost Without U,Overbrook/Star Trak Digital
Dec 23,29,T.I.,Top Back,Grand Hustle Digital
Dec 23,41,Nas Featuring will.i.am,Hip Hop Is Dead,Def Jam Digital
Dec 23,43,Keith Urban,Stupid Boy,Capitol Nashville Digital
Dec 23,53,Blue October,Into The Ocean,Universal Motown Digital
Dec 23,58,Jay-Z Featuring Chrisette Michele,Lost One,Roc-A-Fella/Def Jam Digital
Dec 23,61,Trace Adkins,Ladies Love Country Boys,Capitol Nashville Digital
Dec 23,90,Trent Tomlinson,One Wing In The Fire,Lyric Street Digital
Dec 23,12,"Eminem, 50 Cent, Lloyd Banks &amp; Cashis",You Don’t Know,Shady 008088
Dec 23,54,"Killers, The Featuring Toni Halliday",A Great Big Sled,Island Digital
Dec 23,71,Sarah McLachlan,River,Arista Digital
Dec 30,2,Gwen Stefani Featuring Akon,The Sweet Escape,Interscope Digital
Dec 30,21,Baby Boy Da Prince Featuring Lil Boosie,The Way I Live,Universal Republic 008699
Dec 30,51,Regina Spektor,Fidelity,Sire Digital
Dec 30,68,AFI,Love Like Winter,Tiny Evil Digital
Dec 30,50,"Fray, The",Happy Xmas (War Is Over),Epic Digital
Dec 30,81,Fall Out Boy,The Carpal Tunnel Of Love,Fueled By Ramen/Island Digital
Dec 30,95,Josh Groban,I’ll Be Home For Christmas,143 Digital (Reprise)
