release_date,peak,artist,track,label
Feb 17,64,"Game, The Featuring Kanye West",Wouldn’t Get Far,Geffen 008400
Feb 17,71,Joe Nichols,I’ll Wait For You,Universal South Digital
Feb 17,77,Jack Ingram,Lips Of An Angel,Big Machine Digital
Feb 17,80,Ashley Tisdale,Be Good To Me,Warner Bros. Digital
Feb 17,82,Norah Jones,Thinking About You,Blue Note Digital
Feb 17,83,"Naked Brothers Band, The",Crazy Car,Nick Digital
Feb 24,1,Timbaland Featuring Nelly Furtado &amp; Justin Timberlake,Give It To Me,Mosley/Blackground 008759
Feb 24,24,Unk,2 Step,Big Oomp Digital
Feb 24,30,Crime Mob Featuring Lil Scrappy,Rock Yo Hips,Crunk/BME 42982
Feb 24,77,Jordan Pruitt,Outside Looking In,Hollywood Digital
Feb 24,78,Sheryl Crow,Not Fade Away,A&amp;M Digital
Feb 24,82,Yung Joc Featuring Marques Houston &amp; Trey Songz,1st Time,Block/Bad Boy South 94617
Mar 3,12,Bow Wow or R. Kelly Featuring T.I. &amp; T-Pain,I’m A Flirt,Jive 08525 or Digital
Mar 3,46,Rascal Flatts,Stand,Lyric Street Digital
Mar 3,56,Corinne Bailey Rae,Like A Star,Capitol Digital
Mar 3,62,"Killers, The",Read My Mind,Island Digital
Mar 3,67,Toby Keith,High Maintenance Woman,Show Dog Nashville
Mar 3,71,John Mayer,Gravity,Aware Digital
Mar 3,73,"Fratellis, The",Flathead,Island 008439
Mar 10,1,T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin’),Konvict/Nappy Boy/Jive 08718
Mar 10,6,Huey,Pop Lock And Drop It,Hitz Committee/Jive 00352
Mar 10,66,Dierks Bentley,Long Trip Alone,Capitol Nashville Digital
Mar 10,72,Paul Wall Featuring Lil’ KeKe,Break ‘Em Off,Swishahouse/Asylum 114812
Mar 10,78,Marques Houston,Circle,T.U.G. Digital
Mar 10,90,AnnaSophia Robb,Keep Your Mind Wide Open,Hollywood Digital
Mar 17,1,Avril Lavigne,Girlfriend,RCA Digital
Mar 17,2,Ne-Yo,Because Of You,Def Jam 008678
Mar 17,5,Daughtry,Home,RCA Digital
Mar 17,13,Tim McGraw,Last Dollar (Fly Away),Curb Digital
Mar 17,19,Ciara,Like A Boy,LaFace Digital
Mar 17,22,Bow Wow Featuring T-Pain &amp; Johnta Austin,Outta My System,Columbia Digital
Mar 17,31,Hinder,Better Than Me,Universal Republic Digital
Mar 17,59,"Fray, The",Look After You,Epic Digital
Mar 17,61,Elliott Yamin,Movin’ On,Hickory Digital
Mar 17,74,Dixie Chicks,The Neighbor,Open Wide Digital
Mar 17,89,Korn Featuring Amy Lee,Freak On A Leash (Unplugged),Virgin Digital
Mar 24,13,Taylor Swift,Teardrops On My Guitar,Big Machine 1002
Mar 24,42,Billy Currington,Good Directions,Mercury Digital
Mar 24,42,Tank,Please Don’t Go,Good Game Digital
Mar 31,3,Beyonce &amp; Shakira,Beautiful Liar,Columbia 10320
Mar 31,9,Amy Winehouse,Rehab,Universal Republic 008491
Mar 31,16,Lloyd,Get It Shawty,The Inc Digital
Mar 31,24,Hilary Duff,With Love,Hollywood Digital
Mar 31,30,Kelly Rowland Featuring Eve,Like This,Columbia 06300
Mar 31,68,Nine Inch Nails,Survivalism,Nothing Digital
Mar 31,78,Amy Winehouse Featuring Ghostface Killah,You Know I’m No Good,Universal Republic 008491
Apr 7,9,Pink,Who Knew,LaFace Digital
Apr 7,13,Elliott Yamin,Wait For You,Hickory Digital
Apr 7,36,Big &amp; Rich,Lost In This Moment,Warner Bros. Digital
Apr 7,46,Michael Buble,Everything,143 Digital (Reprise)
Apr 7,56,Emerson Drive,Moments,Midas 1003
Apr 7,83,Joss Stone,Tell Me ‘Bout It,Virgin Digital
Apr 14,1,Plain White T’s,Hey There Delilah,Hollywood Digital
Apr 14,6,Bone Thugs-N-Harmony Featuring Akon,I Tried,Full Surface Digital
Apr 14,28,"DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil’ Wayne, Baby",We Takin’ Over,Terror Squad 4229
Apr 14,40,Brad Paisley,Ticks,Arista Nashville Digital
Apr 14,55,Papa Roach,Forever,El Tonal Digital
Apr 14,58,Rob Thomas,Little Wonders,Melisma Digital (Atlantic)
Apr 14,73,Alan Jackson,A Woman’s Love,Arista Nashville 13136
Apr 14,84,Breaking Benjamin,Breath,Hollywood Digital
Apr 14,87,Young Buck,Get Buck,G-Unit 008703
Apr 14,92,Mika,Love Today,Casablanca Digital
Apr 21,1,Maroon5,Makes Me Wonder,A&amp;M/Octone Digital
Apr 21,2,Timbaland Featuring One Republic,Apologize,Mosley/Blackground Digital
Apr 21,7,Linkin Park,What I’ve Done,Machine Shop Digital (Warner Bros.)
Apr 21,32,Fantasia,When I See U,J Digital
Apr 21,44,Dashboard Confessional,Stolen,Vagrant Digital
Apr 21,61,Tracy Lawrence,Find Out Who Your Friends Are,Rocky Comfort 9737
Apr 21,81,Ashley Tisdale,Kiss The Girl,Walt Disney Digital
Apr 21,83,Fabolous Featuring Young Jeezy,Diamonds,Desert Storm/Def Jam 008618
Apr 21,91,Timbaland Featuring Justin Timberlake,Release,Mosley/Blackground Digital
Apr 28,1,Rihanna Featuring Jay-Z,Umbrella,SRP/Def Jam 008990
Apr 28,6,Justin Timberlake,Summer Love,Jive Digital
Apr 28,11,Fall Out Boy,Thnks Fr Th Mmrs,Fueled By Ramen/Island Digital
Apr 28,75,Brandi Carlile,The Story,Columbia Digital
Apr 28,83,Swizz Beatz,It’s Me Snitches,Universal Motown Digital
Apr 28,84,Bjork,Earth Intruders,Elektra Digital
Apr 28,86,Jennifer Lopez,Que Hiciste,Epic/Sony BMG Norte Digital
Apr 28,87,Paul Wall Featuring Jermaine Dupri,I’m Throwed,Swishahouse/Asylum 149948
May 5,1,Fergie,Big Girls Don’t Cry,will.i.am/A&amp;M Digital
May 5,2,Shop Boyz,Party Like A Rockstar,OnDeck 009015
May 5,24,Avril Lavigne,When You’re Gone,RCA Digital
May 5,58,Bucky Covington,A Different World,Lyric Street Digital
May 5,65,Montgomery Gentry,Lucky Man,Columbia Digital
May 5,68,Jason Aldean,Johnny Cash,Broken Bow Digital
May 5,71,George Strait,Wrapped,MCA Nashville Digital
May 5,79,Blake Shelton,Don’t Make Me,Warner Bros. Digital
May 5,94,Incubus,Dig,Immortal Digital
May 5,94,Gary Allan,A Feelin’ Like That,MCA Nashville Digital
May 5,98,Josh Turner,Me And God,MCA Nashville Digital
May 12,6,Carrie Underwood,I’ll Stand By You,Fremantle Digital
May 12,8,Kelly Clarkson,Never Again,RCA Digital
May 12,18,Yung Berg Featuring Junior,Sexy Lady,Yung Boss 05563
May 12,26,"White Stripes, The",Icky Thump,Third Man Digital
May 12,38,Lil’ Boosie Featuring Foxx &amp; Webbie,Wipe Me Down,Trill/Asylum Digital
May 12,56,Kelly Clarkson Featuring Jeff Beck,Up To The Mountain,Fremantle Digital
May 12,65,Snow Patrol,Signal Fire,Record Collection Digital (Reprise)
May 12,76,Josh Groban &amp; The African Children’s Choir,You Raise Me Up,Fremantle Digital
May 12,84,Joe,If I Was Your Man,Jive Digital
May 12,93,"Pussycat Dolls, The",I Don’t Need A Man,A&amp;M Digital
May 19,27,Bon Jovi,(You Want To) Make A Memory,Island Digital
May 19,34,Down (AKA Kilo),Lean Like A Cholo,Silent Giant Digital
May 19,45,Freak Nasty Featuring Crazy Mike,Do It Just Like A Rockstar,Hard Hood Digital
May 19,53,Green Day,Working Class Hero,Reprise Digital
May 26,20,R. Kelly Duet With Usher,Same Girl,Jive Digital
May 26,26,Lifehouse,First Time,Geffen Digital
May 26,32,Mims,Like This,Capitol 94433
May 26,32,50 Cent,Straight To The Bank,Shady/Aftermath Digital
May 26,37,Eve,Tambourine,Aftermath/Ruff Ryders Digital
May 26,42,Musiq Soulchild,teachme,Atlantic Digital
May 26,48,Keith Urban,I Told You So,Capitol Nashville Digital
May 26,49,Bobby Valentino Featuring Timbaland,Anonymous,DTP/Def Jam Digital
May 26,56,Daddy Yankee Featuring Fergie,Impacto,El Cartel Digital
May 26,61,Ozzy Osbourne,I Don’t Wanna Stop,Epic Digital
May 26,68,Beyonce,Get Me Bodied,Music World 13225
May 26,83,Secondhand Serenade,Vulnerable,Glassnote Digital
May 26,86,Nelly Furtado,All Good Things (Come To An End),Mosley Digital
Jun 2,5,Colbie Caillat,Bubbly,Universal Republic Digital
Jun 2,21,Enrique Iglesias,Do You Know? (The Ping Pong Song)/Dimelo,Universalo Latino/Interscope Digital
Jun 2,23,Boys Like Girls,The Great Escape,Columbia Digital
Jun 2,50,Tim McGraw with Faith Hill,I Need You,Curb Digital
Jun 2,52,Linkin Park,Bleed It Out,Machine Shop Digital (Warner Bros.)
Jun 2,99,Linkin Park,Given Up,Machine Shop Digital (Warner Bros.)
Jun 9,1,Sean Kingston,Beautiful Girls,Beluga Heights Digital
Jun 9,8,Fabolous Featuring Ne-Yo,Make Me Better,Desert Storm/Def Jam 009027
Jun 9,9,T.I.,Big Things Poppin’ (Do It),Grand Hustle 223868
Jun 9,10,Lil Mama,Lip Gloss,Jive 07519
Jun 9,15,Jordin Sparks,This Is My Now,19 Digital
Jun 9,18,Blake Lewis,You Give Love A Bad Name,19 Digital
Jun 9,54,Gwen Stefani,4 In The Morning,Interscope Digital
Jun 9,54,"Smashing Pumpkins, The",Tarantula,Reprise Digital
Jun 9,66,Jordin Sparks,A Broken Wing,19 Digital
Jun 9,80,Jordin Sparks,I Who Have Nothing,19 Digital
Jun 9,99,Blake Lewis,Time Of The Season,19 Digital
Jun 16,3,Timbaland Featuring Keri Hilson,The Way I Are,Mosley/Blackground Digital
Jun 16,5,T-Pain Featuring Akon,Bartender,Konvict/Nappy Boy/Jive 11814
Jun 16,26,Ne-Yo,Do You,Def Jam 009222
Jun 16,29,Kat Deluna Featuring Elephant Man,Whine Up,Epic 12037
Jun 16,41,Kanye West,Can’t Tell Me Nothing,Roc-A-Fella/Def Jam Digital
Jun 16,56,India.Arie,Beautiful Flower,Universal Motown Digital
Jun 16,79,Chris Brown,Wall To Wall,Jive PROMO SINGLE
Jun 16,83,Jake Owen,Startin’ With Me,RCA Nashville Digital
Jun 23,6,Finger Eleven,Paralyzer,Wind-up Digital
Jun 23,7,Hurricane Chris,A Bay Bay,Polo Grounds/J 11542
Jun 23,15,Rihanna,Shut Up And Drive,SRP/Def Jam Digital
Jun 23,27,Hannah Montana,Nobody’s Perfect,Walt Disney Digital
Jun 23,42,Rodney Atkins,These Are My People,Curb Digital
Jun 23,75,Kellie Pickler,I Wonder,BNA Digital
Jun 30,9,Plies Featuring T-Pain,Shawty,Slip-N-Slide 230716
Jun 30,67,My Chemical Romance,Teenagers,Reprise Digital
Jun 30,90,Jack Johnson,Imagine,Warner Bros. Digital
Jul 7,7,Keyshia Cole Featuring Missy Elliott &amp; Lil Kim,Let It Go,Imani 009976
Jul 7,22,Kenny Chesney,Never Wanted Nothing More,BNA Digital
Jul 7,46,Mario,How Do I Breathe,3rd Street/J 03568
Jul 7,61,Faith Hill,Lost,Warner Bros. Digital
Jul 7,69,Paul McCartney,Dance Tonight,MPL/Hear Digital
Jul 7,97,"Smashing Pumpkins, The",Doomsday Clock,Martha’s Music Digital
Jul 14,17,Justin Timberlake,Until The End Of Time,Jive 19939
Jul 14,17,Aly &amp; AJ,Potential Breakup Song,Hollywood Digital
Jul 14,25,Hannah Montana,Life’s What You Make It,Walt Disney Digital
Jul 14,50,Reba McEntire Duet With Kelly Clarkson,Because Of You,MCA Nashville Digital
Jul 14,64,Paula DeAnda Featuring Bow Wow,Easy,Arista Digital
Jul 14,91,Miley Cyrus,G.N.O. (Girl’s Night Out),Walt Disney Digital
Jul 14,92,Hannah Montana,Make Some Noise,Walt Disney Digital
Jul 14,99,Hannah Montana,True Friend,Walt Disney Digital
Jul 21,26,Paramore,Misery Business,Fueled By Raman/Atlantic Digital
Jul 21,17,Justin Timberlake,LoveStoned,Jive 15548
Jul 21,34,T.I. Featuring Wyclef Jean,You Know What It Is,Grand Hustle 262460
Jul 21,66,Cupid,Cupid Shuffle,Atlantic Digital
Jul 21,68,Sugarland,Everyday America,Mercury Digital
Jul 21,76,Craig Morgan,Tough,Broken Bow Digital
Jul 21,86,Goo Goo Dolls,Before It’s Too Late (Sam And Mikaela’s Theme),Warner Bros. Digital
Jul 21,99,Eric Church,Guys Like Me,Capitol Nashville Digital
Jul 28,1,Soulja Boy Tell’em,Crank That (Soulja Boy),ColliPark Digital
Jul 28,71,Three Days Grace,Never Too Late,Jive Digital
Aug 4,37,Billy Ray Cyrus with Miley Cyrus,"Ready, Set, Don’t Go",Walt Disney Digital
Aug 4,5,J. Holiday,Bed,Music Line 61202
Aug 4,6,High School Musical 2 Cast,What Time Is It,Walt Disney 000507
Aug 4,7,Akon,"Sorry, Blame It On Me",Konvict/Upfront/SRC Digital
Aug 4,39,Brad Paisley,Online,Arista Nashville Digital
Aug 4,40,Ciara Featuring 50 Cent,Can’t Leave ‘Em Alone,LaFace Digital
Aug 4,88,Cast Of Hairspray,You Can’t Stop The Beat,New Line Digital
Aug 4,97,Hilary Duff,Stranger,Hollywood Digital
Aug 11,1,Kanye West,Stronger,Roc-A-Fella/Def Jam Digital
Aug 11,7,Baby Bash Featuring T-Pain,Cyclone,Arista 11393
Aug 11,19,Rascal Flatts,Take Me There,Lyric Street Digital
Aug 11,38,Gorilla Zoe,Hood Figga,Black/Bad Boy South Digital
Aug 11,48,Toby Keith,Love Me If You Can,Show Dog Nashville Digital
Aug 11,53,Jonas Brothers,Hold On,Hollywood Digital
Aug 11,57,Brooks &amp; Dunn,Proud Of The House We Built,Arista Nashville Digital
Aug 18,14,Sean Kingston,Me Love,Beluga Heights Digital
Aug 18,46,Dierks Bentley,Free And Easy (Down The Road I Go),Capitol Nashville Digital
Aug 18,59,Luke Bryan,All My Friends Say,Capitol Nashville Digital
Aug 18,99,Robin Thicke,Can U Believe,Star Trak Digital
Aug 25,5,50 Cent Featuring Justin Timberlake &amp; Timbaland,Ayo Technology,Shady/Aftermath 009807
Aug 25,17,Jonas Brothers,S.O.S.,Hollywood Digital
Aug 25,18,Daughtry,Over You,RCA Digital
Aug 25,19,Maroon 5,Wake Up Call,A&amp;M/Octone Digital
Aug 25,31,will.i.am,I Got It From My Mama,will.i.am 009825
Aug 25,37,Foo Fighters,The Pretender,Roswell/RCA Digital
Aug 25,41,Tim McGraw,If You’re Reading This,Curb Digital
Aug 25,70,UGK Featuring OutKast,Int’l Players Anthem (I Choose You),UGK/Jive 11063
Sep 1,17,Carrie Underwood,So Small,Arista Digital
Sep 1,31,Zac Efron And Vanessa Anne Hudgens,You Are The Music In Me,Walt Disney Digital
Sep 1,34,Zac Efron And Vanessa Anne Hudgens,Gotta Go My Own Way,Walt Disney Digital
Sep 1,46,Gym Class Heroes,Clothes Off!!,Fueled By Ramen/Atlantic Digital
Sep 1,46,Zac Efron,Bet On It,Walt Disney Digital
Sep 1,65,Zac Efron And Vanessa Anne Hudgens,Everyday,Walt Disney Digital
Sep 1,70,Corbin Bleu And Lucas Grabeel,I Don’t Dance,Walt Disney Digital
Sep 1,92,High School Musical 2 Cast,All For One,Walt Disney Digital
Sep 8,20,50 Cent,I Get Money,Shady/Aftermath 009808
Sep 8,76,Ashley Tisdale And Lucas Grabeel,Fabulous,Walt Disney Digital
Sep 15,7,Rihanna Featuring Ne-Yo,Hate That I Love You,SRP/Def Jam Digital
Sep 15,11,matchbox twenty,How Far We’ve Come,Melisma Digital (Atlantic)
Sep 15,23,Fabolous Featuring Jermain Dupri,Baby Don’t Go,Desert Storm/Def Jam Digital
Sep 15,43,Nelly,Wadsyaname,Derrty 009971
Sep 15,52,Jason Michael Carroll,Livin’ Our Love Song,Arista Nashville Digital
Sep 15,53,Garth Brooks,More Than A Memory,Pearl PROMO SINGLE
Sep 15,78,Yung Joc Featuring Gorilla Zoe,Coffee Shop,Block/Bad Boy South 207868
Sep 15,84,Swizz Beatz,Money In The Bank,Universal Motown Digital
Sep 22,25,Good Charlotte,I Don’t Wanna Be In Love (Dance Floor Anthem),Daylight Digital (Epic)
Sep 22,1,Alicia Keys,No One,J 20102
Sep 22,3,Britney Spears,Gimme More,Jive 18815
Sep 22,17,The-Dream,Shawty Is A 10,Def Jam 009406
Sep 22,29,Kenny Chesney,Don’t Blink,BNA Digital
Sep 22,49,George Strait,How ‘Bout Them Cowgirls,MCA Nashville Digital
Sep 22,55,Clay Walker,Fall,Asylum-Curb Digital
Sep 29,12,"Wyclef Jean Featuring Akon, Lil Wayne &amp; Niia",Sweetest Girl (Dollar Bill),Columbia 15361
Sep 29,1,Chris Brown Featuring T-Pain,Kiss Kiss,Jive 17392
Sep 29,7,Kanye West Featuring T-Pain,Good Life,Roc-A-Fella/Def Jam Digital
Sep 29,8,Feist,1234,Cherrytree/Polydor Digital
Sep 29,19,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross &amp; Plies",I’m So Hood,Terror Squad 04230
Sep 29,33,Cassidy Featuring Swizz Beatz,My Drink N’ My 2 Step,J 13493
Sep 29,50,Josh Turner,Firecracker,MCA Nashville Digital
Sep 29,69,Juanes,Me Enamora,Universal Latino Digital
Sep 29,86,Backstreet Boys,Inconsolable,Jive Digital
Sep 29,88,Nelly Furtado,Do It,Mosely 009775
Oct 6,14,Trey Songz,Can’t Help But Wait,Song Book Digital
Oct 6,15,Playaz Circle Featuring Lil Wayne,Duffle Bag Boy,DTP/Def Jam 009296
Oct 6,31,Jennifer Lopez,Do It Well,Epic 16871
Oct 6,62,Gucci Mane,Freaky Gurl,Big Cat/Asylum/Atlantic Digital
Oct 6,73,James Blunt,1973,Custard Digital
Oct 6,87,Miranda Lambert,Famous In A Small Town,Columbia Digital
Oct 13,16,Taylor Swift,Our Song,Big Machine Digital
Oct 13,56,Seether,Fake It,Wind-up Digital
Oct 13,8,Jordin Sparks,Tattoo,Jive Digital
Oct 13,14,Plies Featuring Akon,Hypnotized,Big Gates/Slip-N-Slide 313788
Oct 13,37,Ingrid Michaelson,The Way I Am,Cabin 24 Digital
Oct 13,41,Keyshia Cole Introducing Amina,Shoulda Let You Go,Imani 010186
Oct 13,73,LeAnn Rimes,Nothin’ Better To Do,Asylum-Curb Digital
Oct 20,26,Santana Featuring Chad Kroeger,Into The Night,Arista Digital
Oct 20,57,Montgomery Gentry,What Do Ya Think About That,Columbia Digital
Oct 20,64,Keith Urban,Everybody,Capitol Nashville Digital
Oct 20,32,Soulja Boy Tell’em Featuring I-15,Soulja Girl,ColliPark 010217
Oct 20,55,Jay-Z,Blue Magic,Roc-A-Fella/Def Jam Digital
Oct 27,70,"Last Goodnight, The",Pictures Of You,Virgin Digital
Oct 27,5,Fergie,Clumsy,will.i.am/A&amp;M Digital
Oct 27,32,Sugarland,Stay,Mercury Digital
Oct 27,62,Sara Evans,As If,RCA Nashville Digital
Nov 3,11,Natasha Bedingfield Featuring Sean Kingston,Love Like This,Phonogenic 18498
Nov 3,22,Mary J. Blige,Just Fine,Matriach 010245
Nov 3,68,"Killers, The",Shadowplay,Island Digital
Nov 3,72,Hurricane Chris Featuring Big Poppa,The Hand Clap,Polo Grounds/J 17159
Nov 10,1,Flo Rida Featuring T-Pain,Low,Poe Boy 346620
Nov 10,43,Gary Allan,Watching Airplanes,MCA Nashville Digital
Nov 10,52,Rascal Flatts,Winner At A Losing Game,Lyric Street Digital
Nov 10,68,Fall Out Boy,I’m Like A Lawyer…(Me &amp; You),Fueled By Ramen/Island Digital
Nov 10,97,Serj Tankian,Empty Walls,Serjical Strike 19964
Nov 10,99,Joe Nichols,Another Side Of You,Universal South Digital
Nov 10,99,John Mayer,Dreaming With A Broken Heart,Aware Digital
Nov 17,4,Sara Bareilles,Love Song,Epic Digital
Nov 17,7,Sean Kingston,Take You There,Beluga Heights 05579
Nov 17,18,Britney Spears,Piece Of Me,Jive Digital
Nov 17,38,Birdman Featuring Lil Wayne,Pop Bottles,Cash Money Digital
Nov 17,33,Bow Wow &amp; Omarion,Girlfriend,T.U.G. Digital
Nov 17,63,Jay-Z,Roc Boys (And The Winner Is)…,Roc-A-Fella/Def Jam PROMO SINGLE
Nov 24,12,Alicia Keys,Like You’ll Never See Me Again,MBK/J Digital
Nov 24,15,Linkin Park,Shadow Of The Day,Warner Bros Digital
Nov 24,18,J. Holiday,Suffocate,Music Line 10937
Nov 24,41,"DJ Felli Fel Featuring Diddy, Akon, Ludacris &amp; Lil Jon",Get Buck In Here,Island Urban Digital
Nov 24,61,Lifehouse,From Where You Are,Geffen Digital
Nov 24,63,CSS,Music Is My Hot Hot Sex,Sub Pop Digital
Nov 24,90,Spice Girls,Headlines (Friendship Never Ends),Virgin Digital
Nov 24,98,Wisin &amp; Yandel,Sexy Movimiento,Machete Digital
Dec 1,40,Brad Paisley,Letter To Me,Arista Nashville Digital
Dec 1,46,Enur Featuring Natasja,Calabria 2008,Ultra Digital
Dec 1,56,Chuck Wicks,Stealing Cinderella,RCA Digital
Dec 1,54,Celine Dion,Taking Chances,Columbia Digital
Dec 8,3,Rihanna,Don’t Stop The Music,SRP/Def Jam Digital
Dec 8,9,"Webbie, Lil’ Phat &amp; Lil’ Boosie",Independent,Trill Digital
Dec 8,29,Kanye West Featuring Dwele,Flashing Lights,Roc-A-Fella/Def Jam Digital
Dec 8,40,Rodney Atkins,Cleaning This Gun (Come On Boy),Curb Digital
Dec 8,62,Chris Brown,This Christmas,Jive Digital
Dec 8,75,Colbie Caillat,Mistletoe,Universal Republic Digital
Dec 8,95,Avril Lavigne,Hot,Cherrytree/Polydor Digital
Dec 15,2,Chris Brown,With You,Jive Digital
Dec 15,7,Snoop Dogg,Sensual Seduction,Doggystyle/Geffen 010576
Dec 15,12,John Mayer,Say,Aware Digital
Dec 15,33,Mario,Crying Out For Me,3rd Street/J Digital
Dec 15,67,Craig Morgan,International Harvester,Broken Bow Digital
Dec 15,83,Pitbull Featuring Trina &amp; Young Bo$$,Go Girl,Famous Artists Digital
Dec 15,65,Mary J. Blige,Work That,Matriarch/Geffen 010629
Dec 15,95,50 Cent Featuring Akon,Still Will,Shady/Aftermath Digital
Dec 22,9,Buckcherry,Sorry,Eleven Seven Digital
Dec 22,10,Miley Cyrus,See You Again,Hollywood Digital
Dec 22,43,Boys Like Girls,Hero/Heroine,Columbia Digital
Dec 22,76,Jaheim,Never,Divine Mill Digital
Dec 29,10,Lupe Fiasco Featuring Matthew Santos,Superstar,1st &amp; 15th 350844
Dec 29,12,OneRepublic,Stop And Stare,Mosley Digital
Dec 29,24,Keyshia Cole,I Remember,Imani Digital
Dec 29,47,Jack Johnson,If I Had Eyes,Brushfire Digital
Dec 29,48,Maroon 5,Won’t Go Home Without You,A&amp;M/Octone Digital
Dec 29,54,Paramore,Crushcrushcrush,Fueled By Ramen/Atlantic Digital
