release_date,peak,artist,track,label
Apr 5,62,Ferras,Hollywood’s Not America,Capitol Digital
Apr 5,88,Gnarls Barkley,Going On,Downtown Digital
Apr 5,96,Ne-Yo,Go On Girl,Def Jam Digital
Apr 12,7,Plies Featuring Ne-Yo,Bust It Baby (Part 2),Big Gates/Slip-N-Slide 506620
Apr 12,19,Fall Out Boy Featuring John Mayer,Beat It,Fueled By Ramen/Island Digital
Apr 12,40,Nelly Featuring Fergie,Party People,Derrty 011183
Apr 12,70,Death Cab For Cutie,I Will Possess Your Heart,Atlantic Digital
Apr 12,73,Disturbed,Inside The Fire,Reprise Digital
Apr 12,79,DAY26,Got Me Going,Bad Boy Digital
Apr 19,10,Metro Station,Shake It,Red Ink/RED Digtal
Apr 19,19,Carrie Underwood,Last Name,Arista Digital
Apr 19,37,Radiohead,Nude,TBD Digital
Apr 19,56,Mongomery Gentry,Back When I Knew It All,Columbia Digital
Apr 19,69,Trey Songz,Last Time,Song Book Digital
Apr 19,72,C-Side Featuring Keyshia Cole,Boyfriend/Girlfriend,1720 Digital
Apr 19,73,Dierks Bentley,Trying To Stop Your Leaving,Capitol Nashville Digital
Apr 19,76,Raheem DeVaughn,Customer,Jive Digital
Apr 19,82,Josh Gracin,We Weren’t Crazy,Lyric Street Digital
Apr 19,85,R.E.M.,Supernatural Superserious,Warner Bros. Digital
Apr 19,96,Kellie Pickler,Things That Never Cross A Man’s Mind,BNA Digital
Apr 19,97,Michael Buble,Lost,143 Digital (Reprise)
Apr 26,1,Rihanna,Take A Bow,SRP/Def Jam Digital
Apr 26,11,Leona Lewis,Better In Time,SYCO/J Digital
Apr 26,18,Daughtry,What About Now,RCA Digital
Apr 26,27,Carrie Underwood,Praying For Time,Fremantle Digital
Apr 26,37,Flobots,Handlebars,Universal Republic Digital
Apr 26,41,Blake Shelton,Home,Warner Bros. Digital
Apr 26,43,American Idol Top 8,Shout To The Lord,Fremantle Digital
Apr 26,46,Kenny Chesney,Better As A Memory,BNA Digital
Apr 26,80,Annie Lennox,Many Rivers To Cross,Fremantle Digital
May 3,6,Jason Mraz,I’m Yours,Atlantic Digital
May 3,7,Ne-Yo,Closer,Def Jam Digital
May 3,9,Estelle Featuring Kanye West,American Boy,Home School 422972 (Atlantic)
May 3,19,Mariah Carey,Bye Bye,Island Digital
May 3,43,Chris Brown,Take You Down,Jive Digital
May 3,91,Seether,Rise Above This,Wind-up Digital
May 3,92,Mariah Carey Featuring T-Pain,Migrate,Island Digital
May 10,2,Chris Brown,Forever,Jive Digital
May 10,6,Lil Wayne,A Milli,Cash Money Digital
May 10,10,Jesse McCartney,Leavin’,Hollywood Digital
May 10,18,Usher Featuring Beyonce &amp; Lil Wayne,"Love In This Club, Part II",LaFace Digital
May 10,20,The-Dream,I Luv Your Girl,Radio Killa/Def Jam Digital
May 10,27,Duffy,Mercy,Mercury Digital
May 10,29,V.I.C.,Get Silly,Young Mogul Digital
May 10,64,Weezer,Pork And Beans,DCG/Geffen Digital
May 10,95,G Unit,I Like The Way She Do It,G Unit Digital
May 10,96,Ashlee Simpson,Little Miss Obsessive,Geffen Digital
May 17,28,Keyshia Cole,Heaven Sent,Imani/Geffen Digital
May 17,52,Miranda Lambert,Gunpowder &amp; Lead,Columbia Digital
May 17,55,"Ting Tings, The",Shut Up And Let Me Go,Columbia Digital
May 17,57,Madonna,Give It 2 Me,Warner Bros. Digital
May 17,60,Sean Kingston Featuring Elan &amp; Juelz Santana,There’s Nothin,Beluga Heights Digital
May 17,65,Busta Rhymes Featuring Linkin Park,We Made It,Aftermath Digital
May 17,88,Augustana,Sweet And Low,Epic Digital
May 17,96,Colbie Caillat,Dreams Collide,Universal Republic Digital
May 24,1,Katy Perry,I Kissed A Girl,Capitol Digital
May 24,1,Coldplay,Viva La Vida,Capitol Digital
May 24,5,Kardinal Offishall Featuring Akon,Dangerous,LonLive/Geffen Digital
May 24,16,David Banner Featuring Chris Brown,Get Like Me,b.i.G. f.a.c.e/SRC 011193
May 24,40,Alan Jackson,Good Time,Arista Nashville Digital
May 24,40,Coldplay,Violet Hill,Capitol Digital
May 24,51,Maroon 5 Featuring Rihanna,If I Never See Your Face Again,A&amp;M/Octone Digital
May 24,54,Alicia Keys,Teenage Love Affair,MBK/J 31105
May 24,56,DJ Laz Featuring Flo Rida &amp; Casely,Move Shake Drop (Remix),VIP Digital
May 24,72,T.I.,No Matter What,Grand Hustle Digital
May 31,48,Jason Mraz Featuring Colbie Caillat,Lucky,Atlantic Digital
May 31,18,"Three 6 Mafia Featuring Project Pat, Young D &amp; Superpower",Lolli Lolli (Pop That Body),Hypnotize Minds Digital
May 31,36,New Kids On The Block,Summertime,Interscope Digital
May 31,68,Kate Voegele,Hallelujah,MySpace Digital
Jun 7,3,David Cook,The Time Of My Life,Fremantle/19/RCA Digital
Jun 7,15,David Cook,Dream Big,Fremantle Digital
Jun 7,22,David Cook,I Still Haven’t Found What I’m Looking For,Fremantle Digital
Jun 7,28,David Cook,The World I Know,Fremantle Digital
Jun 7,33,Taylor Swift,Should’ve Said No,Big Machine Digital
Jun 7,36,David Archuleta,Imagine,Fremantle Digital
Jun 7,42,David Cook,I Don’t Want To Miss A Thing,Fremantle Digital
Jun 7,47,David Cook,Billie Jean,Fremantle Digital
Jun 7,58,David Archuleta,Don’t Let The Sun Go Down On Me,Fremantle Digital
Jun 7,60,David Archuleta,In This Moment,Fremantle Digital
Jun 7,64,Lloyd Featuring Lil Wayne,Girls Around The World,The Inc. Digital
Jun 7,67,David Cook,Always Be My Baby,Fremantle Digital
Jun 7,69,Kanye West Featuring Chris Martin,Homecoming,Roc-A-Fella/Def Jam Digital
Jun 7,73,David Cook,Hello,Fremantle Digital
Jun 7,77,David Cook,The Music Of The Night,Fremantle Digital
Jun 7,88,Julianne Hough,That Song In My Head,Mercury Nashville Digital
Jun 7,92,David Cook,Eleanor Rigby,Fremantle Digital
Jun 7,99,David Cook,I’m Alive,Fremantle Digital
Jun 14,9,"Pussycat Dolls, The",When I Grow Up,Interscope Digital
Jun 14,10,Lil Wayne Featuring T-Pain,Got Money,Cash Money Digital
Jun 14,54,Brooks &amp; Dunn,Put A Girl In It,Arista Nashville Digital
Jun 14,67,Usher,Moving Mountains,LaFace Digital
Jun 14,75,"Game, The Featuring Keyshia Cole",Game’s Pain,Geffen Digital
Jun 14,96,Josh Turner Featuring Trisha Yearwood,Another Try,MCA Nashville Digital
Jun 14,98,David Guetta &amp; Chris Willis,Love Is Gone,Gum/Perfecto Digital
Jun 21,9,Miley Cyrus,7 Things,Hollywood Digital
Jun 21,12,Young Jeezy Featuring Kanye West,Put On,Corporate Thugz/Def Jam Digital
Jun 21,27,Gavin Rossdale,Love Remains The Same,Interscope Digital
Jun 21,46,Shwayze Featuring Cisco Adler,Buzzin’,Suretone/Geffen Digital
Jun 21,47,Hot Stylz Featuring Yung Joc,Lookin Boy,Swagg Team/Block/Jive 33983
Jun 21,62,Lil Wayne Featuring Jay-Z,Mr. Carter,Cash Money Digital
Jun 21,66,Paramore,That’s What You Get,Fueled By Ramen Digital
Jun 21,72,Disturbed,Indestructible,Reprise Digital
Jun 21,81,Lil Wayne Featuring Juelz Sanata &amp; Fabolous,You Ain’t Got Nuthin,Cash Money Digital
Jun 28,20,Saving Abel,Addicted,Skiddoo/Virgin Digital
Jun 28,21,Secondhand Serenade,Fall For You,Glassnote/ILG Digital
Jun 28,42,Nelly Featuring Akon &amp; Ashanti,Body On Me,Derrty 011572
Jun 28,48,Keith Anderson,I Still Miss You,Columbia Digital
Jun 28,59,Robin Thicke,Magic,Star Trak Digital
Jun 28,66,Lil Wayne,3 Peat,Cash Money Digital
Jun 28,82,Marvin Sapp,Never Would Have Made It,Verity Digital
Jun 28,94,Tyga Featuring Travis McCoy,Coconut Juice,Bat Squad/Decaydance Digital
Jul 5,40,Coldplay,Lost!,Capitol Digital
Jul 5,1,Rihanna,Disturbia,SRP/Def Jam Digital
Jul 5,3,Katy Perry,Hot N Cold,Capitol Digital
Jul 5,9,Flo Rida Featuring will.i.am,In The Ayer,Poe Boy Digital
Jul 5,9,Demi Lovato &amp; Joe Jonas,This Is Me,Walt Disney Digital
Jul 5,18,Sugarland,All I Want To Do,Mercury Nashville Digital
Jul 5,20,Jonas Brothers,Play My Music,Walt Disney Digital
Jul 5,30,Joe Jonas,Gotta Find You,Walt Disney Digital
Jul 5,33,Cast Of Camp Rock,We Rock,Walt Disney 001912
Jul 5,44,Keith Urban,You Look Good In My Shirt,Capitol Nashville Digital
Jul 12,5,Jonas Brothers,Burnin’ Up,Hollywood Digital
Jul 12,17,Jordin Sparks,One Step At A Time,19/Jive Digital
Jul 12,41,Rick Ross Featuring Nelly &amp; Avery Storm,Here I Am,SLip-N-Slide/Def Jam Digital
Jul 12,43,Sugarland Featuring Little Big Town &amp; Jake Owen,Life In A Northern Town (Live),Mercury Nashville Digital
Jul 12,64,Rehab,Bartender Song (aka Sittin’ At A Bar),Epic/Universal Digital
Jul 12,65,Jessica Simpson,Come On Over,Epic Digital
Jul 12,76,Boys Like Girls,Thunder,Columbia Digital
Jul 12,83,Staind,Believe,Flip Digital
Jul 19,23,Kid Rock,All Summer Long,Top Dog PROMO SINGLE
Jul 19,38,"DJ Khaled Featuring Akon, Rick Ross, Young Jeezy, Lil’ Boosie, Trick Daddy, Ace Hood &amp; Pli",Out Here Grindin,Terror Squad Digital
Jul 19,51,John Mayer,Free Fallin’,Columbia Digital
Jul 19,66,"Lost Trailers, The",Holler Back,BNA Digital
Jul 19,88,Vanessa Hudgens,Sneakernight,Hollywood Digital
Jul 26,33,Yung Berg Featuring Casha,The Business,Yung Boss Digital
Jul 26,35,Darius Rucker,Don’t Think I Don’t Think About It,Capitol Nashville Digital
Jul 26,42,Toby Keith,She Never Cried In Front Of Me,Show Dog Nashville Digital
Jul 26,44,Brad Paisley,Waitin’ On A Woman,Arista Nashville Digital
Jul 26,54,George Strait,Troubadour,MCA Nashville Digital
Jul 26,58,Heidi Newfield,Johnny &amp; June,Curb Digital
Jul 26,58,Mariah Carey,I’ll Be Lovin’ U Long Time,Island Digital
Jul 26,70,WE the Kings,Check Yes Juliet (Run Baby Run),S-Curve Digital
Jul 26,90,Nelly Featuring Ciara &amp; JD,Stepped on My J’z,Derrty Digital
Jul 26,96,Gary Allan,Learning How To Bend,MCA Nashville Digital
Aug 2,4,M.I.A.,Paper Planes,XL 010912
Aug 2,16,Jonas Brothers,Pushin’ Me Away,Hollywood Digital
Aug 2,36,Jimmy Wayne,Do You Believe Me Now,Valory 1010
Aug 2,37,Jazmine Sullivan,Need U Bad,J 32718
Aug 2,97,NAS Featuring Keri Hilson,Hero,Def Jam/Columbia 011660
Aug 9,23,Shwayze,Corona And Lime,Suretone/Geffen Digital
Aug 9,24,Jennifer Hudson,Spotlight,Arista 34847
Aug 9,52,LL Cool J Featuring The-Dream,Baby,Def Jam 011659
Aug 9,56,Miley Cyrus,Breakout,Hollywood Digital
Aug 9,66,Plies Featuring Jamie Foxx &amp; The-Dream,Please Excuse My Hands,Big Gates/Slip-N-Slide Digital
Aug 9,99,Meryl Streep,Mamma Mia,Decca Digital
Aug 16,1,Lady GaGa Featuring Colby O’Donis,Just Dance,Streamline/Konvict 011298
Aug 16,7,T-Pain Featuring Lil Wayne,Can’t Believe It,Nappy Boy/Konvict/Jive 36568
Aug 16,8,Jonas Brothers,Tonight,Hollywood Digital
Aug 16,45,Savage Featuring Soulja Boy Tell’em,Swing,Dawn Raid Digital
Aug 23,1,T.I.,Whatever You Like,Grand Hustle 514202
Aug 23,11,Jonas Brothers,A Little Bit Longer,Hollywood Digital
Aug 23,21,"Game, The Featuring Lil Wayne",My Life,Geffen Digital
Aug 23,29,Carrie Underwood,Just A Dream,19/Arista Digital
Aug 23,36,O.A.R.,Shattered (Turn The Car Around),Everfine/Atlantic Digital
Aug 23,66,Bow Wow Featuring Soulja Boy Tell’em,Marco Polo,Columbia Digital
Aug 23,78,Keri Hilson,Energy,Mosely/Zone 4 Digital
Aug 23,79,Melissa Lawson,What If It All Goes Right,Warner Bros. Digital
Aug 30,2,David Archuleta,Crush,19/Jive Digital
Aug 30,10,Taylor Swift,Change,Big Machine Digital
Aug 30,16,Chris Brown,Dreamer,Jive Digital
Aug 30,19,Hit Masters,All Summer Long,Hip Kiddy Digital
Aug 30,41,Kenny Chesney with The Wailers,Everybody Wants To Go To Heaven,Blue Chair Digital
Aug 30,43,Demi Lovato,Get Back,Hollywood Digital
Aug 30,74,September,Cry For You,Robbins 72162
Aug 30,88,Jonas Brothers,BB Good,Hollywood Digital
Aug 30,92,Goo Goo Dolls,Real,Warner Bros. Digital
Aug 30,96,Nelly,Warrior,Derrty Digital
Aug 30,98,Colbie Caillat,Something Special,Universal Republic Digital
Sep 6,1,Pink,So What,LaFace Digital
Sep 6,7,Ne-Yo,Miss Independent,Def Jam Digital
Sep 6,16,Lil Wayne Featuring Bobby Valentino,Mrs. Officer,Cash Money Digital
Sep 6,31,Metallica,The Day That Never Comes,Warner Bros. Digital
Sep 6,52,Studio All-Stars,American Boy,Ectypal Digital
Sep 13,59,Matt Nathanson,Come On Get Higher,Vanguard Digital
Sep 13,5,Kevin Rudolf Featuring Lil Wayne,Let It Rock,Cash Money 012077
Sep 13,11,Artists Stand Up To Cancer,Just Stand Up!,SU2C Digital
Sep 13,33,Ludacris Co-Starring Chris Brown &amp; Sean Garrett,What Them Girls Like,DTP/Def Jam 012137
Sep 13,49,Slim Featuring Yung Joc,So Fly,M3 Digital
Sep 13,59,Gym Class Heroes Featuring The-Dream,Cookie Jar,Fueled By Ramen DIGITAL
Sep 13,62,T.I. Featuring Swizz Beatz,Swing Ya Rag,Grand Hustle 514202
Sep 13,67,Metallica,My Apocalypse,Warner Bros. Digital
Sep 20,24,John Legend Featuring Andre 3000,Green Light,Home School/G.O.O.D. Digital
Sep 20,36,Shontelle,T-Shirt,SRC Digital
Sep 20,50,Metallica,Cyanide,Warner Bros. Digital
Sep 20,68,High School Musical 3 Cast,Now Or Never,Walt Disney Digital
Sep 20,74,Luke Bryan,Country Man,Capitol Nashville Digital
Sep 20,84,T.I.,"What Up, What’s Haapnin’",Grand Hustle Digital
Sep 20,92,Luis Fonsi,No Me Doy Por Vencido,Universal Latino Digital
Sep 27,4,Taylor Swift,Love Story,Big Machine 1015
Sep 27,49,Jonas Brothers,Lovebug,Hollywood Digital
Sep 27,5,Jay-Z &amp; T.I. Featuring Kanye West &amp; Lil Wayne,Swagga Like Us,Grand Hustle Digital
Sep 27,21,Fall Out Boy,I Don’t Care,Fueled By Ramen/Island Digital
Sep 27,33,Montgomery Gentry,Roll With Me,Columbia Digital
Sep 27,34,Brandy,Right Here (Departed),Koch/Epic Digital
Sep 27,47,Tim McGraw,Let It Go,Curb Digital
Sep 27,75,Theory Of A Deadman,Bad Girlfriend,604/Roadrunner Digital
Sep 27,82,Alicia Keys,Superwoman,MBK/J Digital
Sep 27,82,Joshua Radin,I’d Rather Be With You,mom and pop Digital
Oct 4,3,Kanye West,Love Lockdown,Rock-A-Fella/Def Jam Digital
Oct 4,20,Zac Brown Band,Chicken Fried,Roar Digital
Oct 4,29,"Rock Heroes, The",All Summer Long,Big Eye Digital
Oct 4,63,Natasha Bedingfield,Angel,Phonogenic Digital
Oct 4,69,DJ Khaled Featuring Kanye West &amp; T-Pain,Go Hard,We The Best/Terror Squad Digital
Oct 11,4,Kings Of Leon,Use Somebody,RCA Digital
Oct 11,41,Demi Lovato,Don’t Forget,Hollywood Digital
Oct 11,1,T.I. Featuring Rihanna,Live Your Life,Def Jam/Grand Hustle 516201
Oct 11,8,Akon,Right Now (Na Na Na),SRC Digital
Oct 11,30,Pitbull Featuring Lil Jon,Krazy,Mr. 305/Famous Artist Digital
Oct 11,41,Sugarland,Already Gone,Mercury Nashville Digital
Oct 11,57,T.I.,Ready For Whatever,Grand Hustle Digital
Oct 11,100,Demi Lovato Featuring Jonas Brothers,On The Line,Hollywood Digital
Oct 18,2,T.I. Featuring Justin Timberlake,Dead And Gone,Grand Hustle Digital
Oct 18,52,Jamey Johnson,In Color,Mercury Nashville Digital
Oct 18,85,Hinder,Without You,Universal Republic Digital
Oct 18,1,Britney Spears,Womanizer,Jive Digital
Oct 18,7,Christina Aguilera,Keeps Getting’ Better,RCA Digital
Oct 18,10,Nickelback,Gotta Be Somebody,Roadrunner Digital
Oct 18,17,David Cook,Light On,19/RCA Digital
Oct 18,32,"Killers, The",Human,Island Digital
Oct 18,50,Rascal Flatts,Here,Lyric Street Digital
Oct 18,62,Jesse McCartney,It’s Over,Hollywood Digital
Oct 18,70,Bucky Covington,I’ll Walk,Lyric Street Digital
Oct 18,78,Ciara Featuring T-Pain,Go Girl,LaFace Digital
Oct 18,86,Chuck Wicks,All I Ever Wanted,RCA Nashville Digital
Oct 25,32,Dierks Bentley,Feel That Fire,Capitol Nashville Digital
Oct 25,63,"Offspring, The","You’re Gonna Go Far, Kid",Columbia Digital
Oct 25,67,Lady Antebellum,Lookin’ For A Good Time,Capitol Nashville Digital
Oct 25,3,Beyonce,If I Were A Boy,Music World Digital
Oct 25,31,Akon Featuring Lil Wayne,I’m So Paid,SRC Universal Motown Digital
Oct 25,31,Jazmine Sullivan,Bust Your Windows,J Digital
Oct 25,74,Fall Out Boy,Headfirst Slide Into Cooperstown On A Bad Bet,Island Digital
Oct 25,93,Oasis,The Shock Of The Lightning,Big Brother Digital
Nov 1,22,Jim Jones &amp; Ron Browz Featuring Juelz Santana,Pop Champagne,Ether Boy/Universal Motown Digital
Nov 1,78,Apocalyptica Featuring Adam Gontier,I Don’t Care,20-20/Jive Digital
Nov 1,1,Beyonce,Single Ladies (Put A Ring On It),Music World Digital
Nov 1,9,Taylor Swift,Fearless,Big Machine Digital
Nov 1,27,T-Pain Featuring Ludacris,Chopped ‘N’ Skrewed,Konvict/Nappy Boy/Jive Digital
Nov 1,38,T-Pain Featuring Chris Brown,Freeze,Konvict/Nappy Boy/Jive Digital
Nov 1,44,50 Cent,Get Up,Shady/Aftermath Digital
Nov 1,55,Brad Paisley Duet With Keith Urban,Start A Band,Arista Nashville Digital
Nov 1,73,Craig Morgan,Love Remembers,BNA Digital
Nov 1,76,"Mike Jones Featuring Trey Songz, Lil Wayne &amp; Twista",Cuddy Buddy,Ice Age Digital
Nov 1,90,Ray LaMontagne,You Are The Best Thing,RCA Digital
Nov 1,91,Ingrid Michaelson,Be OK,Cabin 24/Original Signal Digital
Nov 1,94,Fall Out Boy,"What A Catch, Donnie",MBK/J Digital
Nov 8,21,Adele,Chasing Pavements,XL Digital
Nov 8,43,Blake Shelton,She Wouldn’t Be Gone,Warner Bros. Digital
Nov 8,52,Billy Currington,Don’t,Mercury Nashville Digital
Nov 8,83,Lifehouse,Broken,Geffen Digital
Nov 8,56,Kings Of Leon,Sex On Fire,RCA Digital
Nov 8,90,Pleasure P.,Did You Wrong,Bluestar Digital
Nov 8,91,Enrique Iglesias,Lloro Por Ti,Universal Latino Digital
Nov 8,98,Zac Efron &amp; Vanessa Hudgens,Can I Have This Dance,Walt Disney Digital
Nov 15,7,3OH!3,Don’t Trust Me,Photo Finish/Atlantic Digital
Nov 15,24,Ludacris Co-Starring T-Pain,One More Drink,DTP/Def Jam Digital
Nov 15,49,Alan Jackson,Country Boy,Arista Nashville Digital
Nov 15,11,Taylor Swift,You’re Not Sorry,Big Machine Digital
Nov 15,45,Usher,Trading Places,LaFace Digital
Nov 15,89,David Archuleta,Angels,19/Jive Digital
Nov 15,96,Nickelback,Something In Your Mouth,Roadrunner Digital
Nov 22,2,Taylor Swift,You Belong With Me,Big Machine Digital
Nov 22,2,Kanye West,Heartless,Roc-A-Fella/Def Jam Digital
Nov 22,18,Rihanna,Rehab,SRP/Def Jam Digital
Nov 22,33,Paramore,Decode,Fueled By Ramen/Chop Shop Digital
Nov 22,53,Young Jeezy Featuring Nas,My President,CTE/Def Jam Digital
Nov 22,67,"Killers, The",Spaceman,Island Digital
Nov 22,78,will.i.am,It’s A New Day,will.i.am Digital
Nov 22,94,Linkin Park,Leave Out All The Rest,Warner Bros. Digital
Nov 22,96,Buckcherry,Too Drunk,Eleven Seven Digital
Nov 29,4,"All-American Rejects, The",Gives You Hell,Doghouse Digital
Nov 29,19,Nickelback,If Today Was Your Last Day,Roadrunner Digital
Nov 29,23,Taylor Swift,Fifteen,Big Machine Digital
Nov 29,29,Jason Aldean,She’s Country,Broken Bow Digital
Nov 29,30,Keith Urban,Sweet Thing,Capitol Nashville Digital
Nov 29,44,Brooks &amp; Dunn Featuring Reba McEntire,Cowgirls Don’t Cry,Arista Nashville Digital
Nov 29,63,Keyshia Cole Featuring 2Pac,Playa Cardz Right,Amaru/Imani/Geffen Digital
Nov 29,13,Taylor Swift,White Horse,Big Machine Digital
Nov 29,34,Guns N’ Roses,Chinese Democracy,Black Frog/Geffen Digital
Nov 29,49,Taylor Swift,Forever &amp; Always,Big Machine Digital
