release_date,peak,artist,track,label
Apr 14,1,"Christina Aguilera, Lil’ Kim, Mya &amp; Pink",Lady Marmalade,Interscope 497066
Apr 14,4,112,Peaches &amp; Cream,Bad Boy 79387
Apr 14,5,StainD,It’s Been Awhile,Flip/Elektra Album Cut
Apr 14,51,George Strait,If You Can Do Anything Else,MCA Album Cut
Apr 14,75,Lil Bow Wow Featuring Jagged Edge,Puppy Love,So So Def Album Cut
Apr 21,35,Sara Evans,I Could Not Ask For More,RCA Album Cut
Apr 21,52,2 Pac,Until The End Of Time,Amaru Album Cut
Apr 28,2,Eve Featuring Gwen Stefani,Let Me Blow Ya Mind,Ruff Ryders 497562
Apr 28,51,Brad Paisley,Two People Fell In Love,Arista Nashville Album Cut
Apr 28,52,Alan Jackson,When Somebody Loves You,Arista Album Cut
Apr 28,75,Limp Bizkit,My Way,Flip Album Cut
Apr 28,78,Phil Vassar,Rose Bouquet,Arista Album Cut
Apr 28,96,Aaron Carter,That’s How I Beat Shaq,Jive 42873
Apr 28,99,Leslie Carter,"Like, Wow!",DreamWorks 50927
May 5,2,Blu Cantrell,Hit ‘Em Up Style (Oops!),RedZone 13974 Arista
May 5,23,Madonna,What It Feels Like For A Girl,Maverick 42372
May 5,24,Lonestar,I’m Already There,BNA Album Cut
May 5,40,Ja Rule Featuring Lil’ Mo,I Cry,Murder Inc./Def Jam 572856
May 5,48,matchbox twenty,Mad Season,Lava Album Cut
May 5,56,Faith Evans Featuring Carl Thomas,Can’t Believe,Bad Boy 79370
May 5,70,Lionel Richie,Angel,Island 572831
May 12,31,Babyface,There She Goes,Arista 13988
May 12,39,Dream,This Is Me,Bad Boy 79402
May 12,49,Samantha Mumba,"Baby, Come Over (This Is Our Night)",Wild Card/A&amp;M Album Cut
May 12,81,Amanda,Everybody Doesn’t,Maverick 16771
May 12,85,Depeche Mode,Dream On,Mute/Reprise 44982
May 19,3,Lil’ Romeo,My Baby,Soulja 50202
May 19,15,Jessica Simpson,Irresistible,Columbia 79578
May 19,22,Dave Matthews Band,The Space Between,RCA Album Cut RCA
May 19,97,Redman Featuring DJ Kool,Let’s Get Dirty (I Can’t Get In Da Club),Def Jam 572917
May 26,10,Faith Hill,There You’ll Be,Warner Bros. Soundtrack Cut
May 26,18,Blake Shelton,Austin,Giant 16767 WRN
May 26,27,"Backstreet Boys, The",More Than That,Jive Album Cut Jive
May 26,30,Ray J Featuring Lil’ Kim,Wait A Minute,Atlantic 85066
May 26,80,"Three.., The G. Dep, P. Diddy, Black Rob",Let’s Get It,Bad Boy 79383
May 26,83,R.E.M.,Imitation Of Life,Warner Bros. 42363
Jun 2,3,Jagged Edge with Nelly,Where The Party At,So So Def 79626
Jun 2,13,Sugar Ray,When It’s Over,Lava Album Cut
Jun 2,16,Toya,I Do!!,Arista 15075
Jun 2,19,N’Sync,Pop,Jive 42933
Jun 2,22,Erick Sermon Featuring Marvin Gaye,Music,NY.LA/Def Squad 497578
Jun 2,26,Cyndi Thomson,What I Really Meant To Say,Capitol 58987
Jun 2,59,Aaliyah Featuring Timbaland,We Need A Resolution,Blackground 38781
Jun 2,81,3LW,Playas Gon’ Play,Epic 79595
Jun 9,1,Destiny’s Child,Bootylicious,Columbia 79622
Jun 9,3,O-Town,All Or Nothing,J 21056
Jun 9,15,Craig David,Fill Me In,Wildstar 88101
Jun 9,22,Willa Ford,I Wanna Be Bad,Lava 85103
Jun 9,30,Eve 6,Here’s To The Night,RCA Album Cut
Jun 9,35,Jamie O’Neal,When I Think About Angels,Mercury Album Cut
Jun 16,1,Alicia Keys,Fallin’,J 21041
Jun 16,1,Usher,U Remind Me,Arista 13992
Jun 16,26,Jimmy Cozier,She’s All I Got,J 51069 J
Jun 16,27,Toby Keith,I’m Just Talkin’ About Tonight,DreamWorks Album Cut DreamWorks
Jun 16,35,Keith Urban,Where The Blacktop Ends,Capitol Album Cut
Jun 16,46,Jo Dee Messina,Downtime,Curb Album Cut
Jun 16,97,Ricky Martin,Loaded,Columbia 79596
Jun 23,2,Mariah Carey Featuring Cameo,Loverboy,Virgin 38791 Virgin
Jun 23,3,Janet,Someone To Call My Lover,Virgin 38799 Virgin
Jun 23,19,D12,Purple Hills,Shady 497583
Jun 23,41,American Hi-Fi,Flavor Of The Weak,Island Album Cut
Jun 23,67,Tool,Schism,Volcano Album Cut
Jun 30,52,Jaheim,Just In Case,Divine Mill 42381
Jun 30,60,Rascal Flatts,While You Loved Me,Lyric Street Album Cut
Jun 30,63,Busta Rhymes Featuring Busta Rhymes,What It Is,Violator 79600 Loud/Columbia
Jun 30,88,St. Lunatics,Midwest Swing,Fo’ Reel 158815
Jul 7,1,Jennifer Lopez Featuring Ja Rule,I’m Real,Epic 79639
Jul 7,60,Jill Scott,The Way,Hidden Beach Album Cut
Jul 7,60,Chris Cagle,Laredo,Virgin Album Cut Capitol
Jul 14,10,Enya,Only Time,Reprise 42420
Jul 14,15,Missy “Misdemeanor” Elliott,One Minute Man,The Gold Mind/Elektra Album Cut
Jul 14,19,"Isley Brothers, The Featuring Ronald Isley AKA Mr. Biggs",Contagious,DreamWorks Album Cut DreamWorks
Jul 14,24,Ludacris Featuring Nate Dogg,Area Codes,Disturbing Tha Peace/Def Jam 588671
Jul 14,85,Dante Thomas Featuring Pras,Miss California,Rat Pack 67157
Jul 14,90,Snoop Dogg Featuring Tyrese &amp; Mr. Tan,Just A Baby Boy,Universal 158986
Jul 21,17,Trick Daddy,I’m A Thug,Slip-N-Slide 85141
Jul 21,25,Fabolous Featuring Nate Dogg,Can’t Deny It,Desert Storm/Elektra 67231
Jul 21,25,Smash Mouth,I’m A Believer,DreamWorks/Interscope Soundtrack Cut
Jul 21,26,Luther Vandross,Take You Out,J 21084 J
Jul 21,33,Brooks &amp; Dunn,Only In America,Arista Nashville
Jul 21,78,Lee Ann Womack,Why They Call It Falling,MCA Album Cut
Jul 21,83,Darude,Sandstorm,Groovilicious 37127
Jul 28,1,Mary J. Blige,Family Affair,MCA 155894
Jul 28,4,Ginuwine,Differences,Epic Album Cut
Jul 28,8,Jay-Z,Izzo (H.O.V.A.),Roc-A-Fella/Def Jam 588701
Jul 28,24,3 Doors Down,Be Like That,Republic Soundtrack Cut Universal
Jul 28,33,"P. Diddy, Black Rob &amp; Mark Curry",Bad Boy For Life,Bad Boy 79400
Jul 28,47,Trick Pony,On A Night Like This,Warner Bros. 16751
Jul 28,64,Fuel,Bad Day,Epic Album Cut
Jul 28,71,Blink-182,The Rock Show,MCA Album Cut
Aug 4,31,"Wiseguys, The",START The Commotion,Ideal Album Cut Mammoth/Hollywood
Aug 4,44,Trisha Yearwood,I Would’ve Loved You Anyway,MCA Nashville Album Cut Nashville
Aug 4,78,Gigi D’Agostino,I’ll Fly With You (L’Amour Toujours),Arista 13998 Arista
Aug 4,81,Coo Coo Cal,My Projects,Tommy Boy 2225
Aug 4,91,Ian Van Dahl Featuring Marsha,Castles In The Sky,Robbins 72046 Robbins
Aug 11,25,Petey Pablo,Raise Up,Jive 42937
Aug 11,56,Phil Vassar,Six-Pack Summer,Arista Nashville
Aug 11,65,Juvenile,Set It Off,Cash Money 860956 Universal
Aug 11,79,Linkin Park,Crawling,Warner Bros. Album Cut
Aug 18,5,Nelly Furtado,Turn Off The Light,DreamWorks 459093
Aug 18,13,Afroman,Because I Got High,Universal 015310
Aug 18,38,Tim McGraw,Angry All The Time,Curb Album Cut
Aug 18,90,Nivea,Don’t Mess With The Radio,Jive 42902
Aug 18,91,Lil Bow Wow,Ghetto Girls,So So Def 79612
Aug 25,23,Alien Ant Farm,Smooth Criminal,New Noize Album Cut
Aug 25,27,Christina Milian,AM To PM,Def Soul 588775
Aug 25,34,Alan Jackson,Where I Come From,Arista Nashville Album Cut
Aug 25,36,R. Kelly,Feelin’ On Yo Booty,Jive 42946
Aug 25,44,LFO,Every Other Time,J Album Cut
Aug 25,57,Gorillaz,Clint Eastwood,Virgin Album Cut
Aug 25,85,Musiq Soulchild Featuring Ayana,Girl Next Door,Def Soul 572835
Aug 25,94,"Lil Jon &amp; The East Side Boyz Featuring Ludacris, Too Short",Bia’ Bia’,TVT 7780
Sep 1,6,Ja Rule Featuring Case,Livin’ It Up,Murder Inc./Def Jam 588741
Sep 1,12,Michelle Branch,Everywhere,Maverick Album Cut
Sep 1,14,Five For Fighting,Superman (It’s Not Easy),Aware Album Cut
Sep 1,15,Bubba Sparxxx,Ugly,Beat Club 497602
Sep 1,66,Sum 41,Fat Lip,Island Album Cut
Sep 8,1,Nickelback,How You Remind Me,Roadrunner 012053
Sep 8,10,Michael Jackson,You Rock My World,Epic Album Cut
Sep 8,14,Aaliyah,Rock The Boat,Blackground Album Cut
Sep 8,22,Maxwell,Lifetime,Columbia 79640
Sep 8,59,Carolyn Dawn Johnson,Complicated,Arista Nashville
Sep 15,39,112,Dance With Me,Bad Boy 79413
Sep 15,39,Travis Tritt,Love Of A Woman,Columbia Album Cut
Sep 15,49,Reba,I’m A Survivor,MCA Nashville Album Cut Nashville
Sep 15,51,Brian McKnight,Love Of My Life,Motown Album Cut Universal
Sep 15,64,Martina McBride,When God-Fearin’ Women Get The Blues,RCA Album Cut RCA
Sep 22,1,Usher,U Got It Bad,Arista 15036
Sep 22,11,N’Sync,Gone,Jive Album Cut
Sep 22,60,Incubus,Wish You Were Here,Immortal Album Cut
Sep 22,80,Babyface,What If,Arista 15034
Sep 29,3,Enrique Iglesias,Hero,Interscope Album Cut
Sep 29,6,Whitney Houston,The Star Spangled Banner,Arista 15054 Arista
Sep 29,10,Destiny’s Child,Emotion,Columbia 79672
Sep 29,16,Lee Greenwood,God Bless The USA,Curb 73128
Sep 29,52,U2,Stuck In A Moment You Can’t Get Out Of,Interscope Album Cut
Sep 29,71,Tyrese,What Am I Gonna Do,RCA Album Cut
Sep 29,95,Public Announcement Featuring LeLe,John Doe,RCA 60485
Sep 29,96,"Lil’ Wayne Featuring Baby, Mack 10 &amp; Mickey",Shine,Cash Money 860941
Oct 6,27,Artists Against AIDS Featuring All-Star Lineup,What’s Going On,Play-Tone 79670
Oct 6,38,Faith Evans,You Gets No Love,Bad Boy 79417
Oct 6,73,Tammy Cochran,Angels In Waiting,Epic Album Cut
Oct 6,84,"R.L., Snoop Dogg &amp; Lil’ Kim",Do U Wanna Roll (Dolittle Theme),J 21088
Oct 13,14,Mr. Cheeks,"Lights, Camera, Action!",Universal 015135 Universal
Oct 13,18,City High Featuring Eve,Caramel,Booga Basement 497608
Oct 13,17,Jay-Z,"Girls, Girls, Girls",Roc-A-Fella/Def Jam 588793
Oct 13,28,Toby Keith,I Wanna Talk About Me,DreamWorks Album Cut DreamWorks
Oct 13,31,Lenny Kravitz,Dig In,Virgin Album Cut
Oct 13,60,DMX,Who We Be,Ruff Ryders/Def Jam 572720
Oct 13,68,Puddle Of Mudd,Control,Flawless/Geffen Album Cut
Oct 20,20,Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,Lyric Street 164059
Oct 20,22,Nelly,#1,Priority Soundtrack Cut
Oct 20,27,Britney Spears,I’m A Slave 4 U,Jive 42967
Oct 20,28,"Backstreet Boys, The",Drowning,Jive Album Cut
Oct 20,44,Trace Adkins,I’m Tryin’,Capitol Album Cut
Oct 20,62,StainD,Fade,Flip/Elektra Album Cut
Oct 20,95,Jermaine Dupri Featuring Nate Dogg,Ballin’ Out Of Control,So So Def 79590
Oct 27,4,Creed,My Sacrifice,Wind-up Album Cut
Oct 27,7,Alicia Keys,A Woman’s Worth,J 21112
Oct 27,15,Fat Joe Featuring R. Kelly,We Thuggin’,Terror Squad 85174
Oct 27,4,Pink,Get The Party Started,Arista 15074
Oct 27,6,Shakira,"Whenever, Wherever",Epic Album Cut
Oct 27,34,George Strait,Run,MCA Nashville Album Cut
Oct 27,36,David Ball,Riding With Private Malone,Dualtone Album Cut
Oct 27,46,Garth Brooks,Wrapped Up In You,Capitol Album Cut
Oct 27,63,Lonestar,With Me,BNA Album Cut
Oct 27,66,P. Diddy Featuring The Neptunes,Diddy,Bad Boy 79408
Nov 3,2,Linkin Park,In The End,Warner Bros. Album Cut
Nov 3,41,P.O.D.,Alive,Atlantic Album Cut
Nov 3,87,"Ludacris, LL Cool J &amp; Keith Murray",Fatty Girl,FB 015283 Universal
Nov 10,5,"Calling, The",Wherever You Will Go,RCA 60518
Nov 10,17,Ludacris,Rollout (My Business),Def Jam South 588792
Nov 10,26,Busta Rhymes,Break Ya Neck,J 21061
Nov 10,52,Angie Stone,Brotha,J 21104
Nov 10,65,Juvenile,From Her Mama (Mama Got A**),Cash Money 860962 Universal
Nov 17,1,Ja Rule Featuring Ashanti,Always On Time,Murder Inc./Def Jam 588795
Nov 17,14,Michael Jackson,Butterflies,Epic Album Cut
Nov 17,25,Jewel,Standing Still,Atlantic Album Cut
Nov 17,35,Brad Paisley,Wrapped Around,Arista Nashville Album Cut
Nov 17,58,Jagged Edge,Goodbye,So So Def Album Cut
Nov 24,28,Alan Jackson,Where Were You (When The World Stopped Turning),Arista Nashville Album Cut
Nov 24,28,"Janet Featuring Missy Elliott, P. Diddy &amp; Carly Simon",Son Of A Gun,Virgin 46171
Dec 1,29,Steve Holy,Good Morning Beautiful,Curb Soundtrack Cut
Dec 1,30,Glenn Lewis,Don’t You Forget It,Red Star 79649
Dec 1,33,Fabolous,Young’n (Holla Back),Desert Storm/Elektra 67265
Dec 8,5,No Doubt Featuring Bounty Killer,Hey Baby,Interscope Album Cut
Dec 8,10,Craig David,7 Days,Wildstar 85232
Dec 8,11,LeAnn Rimes,Can’t Fight The Moonlight,Curb 73116
Dec 8,36,Jo Dee Messina with Tim McGraw,Bring On The Rain,Curb Album Cut
Dec 15,15,Mary J. Blige,No More Drama,MCA 155929
Dec 15,37,Mystikal,Bouncin’ Back (Bumpin’ Me Against The Wall),Jive 42992
Dec 15,45,Missy “Misdemeanor” Elliott Featuring Ginuwine &amp; Tweet,Take Away,The Gold Mind/Elektra Album Cut
Dec 15,62,Jonell &amp; Method Man,Round And Round Remix,Def Jam 588852
Dec 15,87,Nas,Got Ur Self A..,Ill Will 79676
Dec 15,97,Paul McCartney,Freedom,MPL 50291 Capitol
Dec 22,5,Puddle Of Mudd,Blurry,Flawless/Geffen Album Cut
Dec 22,19,OutKast Featuring Killer Mike,The Whole World,LaFace 24550
Dec 22,39,Brooks &amp; Dunn,The Long Goodbye,Arista Nashville Album Cut
Dec 22,72,Method Man &amp; Redman,How High Part II,Def Jam 588891
Dec 22,68,Joe,Let’s Stay Home Tonight,Jive 42995
Dec 29,1,Jennifer Lopez Featuring Ja Rule,Ain’t It Funny,Epic Album Cut
Dec 29,34,R. Kelly,The World’s Greatest,Interscope/Jive Soundtrack Cut
Dec 29,35,Jermaine Dupri &amp; Ludacris,Welcome To Atlanta,So So Def/Def Jam South ALBUMS Cut
Dec 29,63,Master P Featuring Weebie,Ooohhhwee,New No Limit Album Cut Universal
Dec 29,81,Mariah Carey,Never Too Far/Hero (Medley),Virgin 38813
Dec 29,99,Daniel Rodriguez,God Bless America,Manhattan 77684
