artist,artist_id,gender,record_label,artist_country,current_city,hometown_city,band_members,spotify_tags
AC/DC,711MCceyCBcFnzjGY4Q7Un,1.0,Columbia Records,au,,Sydney,"Angus Young: Guitar, Stevie Young: Guitar, Brian Johnson: Vocals, Cliff Williams: Bass, Chris Slade: Drums",rock/album rock/hard rock
Survivor,26bcq2nyj5GB7uRr558iQg,1.0,,us,,Chicago,"Cameron Barton (vocals) 
Frankie Sullivan (guitar)
Billy Ozzello (bass) 
Ryan Sullivan (drums) ",rock/album rock/heavy christmas/hard rock/glam metal/soft rock
The Police,5NGO30tJxFlKixkPSgXcFE,1.0,A&M/Polydor,gb,,London,"Sting
Stewart Copeland
Andy Summers",rock/permanent wave/album rock/classic rock/art rock/mellow gold/soft rock/dance rock/new wave
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,0.0,,us,,New York,,rock/dance pop/permanent wave/pop rock/mellow gold/soft rock/dance rock/europop/new wave pop
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,1.0,Legacy Recordings/Sony,us,,Philadelphia,"Daryl Hall
John Oates",rock/disco/singer-songwriter/album rock/classic rock/art rock/mellow gold/folk rock/soft rock/classic funk rock/dance rock/motown
Bon Jovi,58lV9VcRSjABbAbfWS6skp,1.0,Island Def Jam Music Group,us,,,"Jon Bon Jovi,
Tico Torres,
David Bryan - @dbdavidbryan,
Phil X - @therealphilx,
Hugh McDonald",rock/album rock/heavy christmas/hard rock/glam metal
Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,1.0,,us,,New York,,rock
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,1.0,Motley Records,us,,Los Angeles,"Mick Mars: Guitar
Nikki Sixx: Bass
Vince Neil: Vocals
Tommy Lee: Drums",rock/hard rock/glam metal/sleaze rock
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,1.0,Epic,us,,,,rock/album rock/classic rock/hard rock/metal
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.0,Arista Records,us,,,,r&b/pop/dance pop/pop christmas/soul christmas/urban contemporary
George Michael,19ra5tSw0tWufvUp8GotLo,1.0,Sony Music UK,gb,,London,George Michael,dance pop/pop christmas/boy band/dance rock/europop/new wave pop
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,1.0,,us,,,,rock/album rock/mellow gold/soft rock/new wave pop
The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,0.0,Legacy Recordings/Sony Music,us,,Oakland,"Anita Pointer
Ruth Pointer
Issa Pointer",disco/dance pop/soul christmas/mellow gold/soft rock/classic funk rock/dance rock/europop/new wave pop/new romantic/motown/quiet storm/post-disco
DEVO,0UKfenbZb15sqhfPC6zbt3,1.0,"Booji Boy Records - Futurismo, Inc. - Warner Bros Records - Enigma Records - Rhino Records...etc..",us,,Los Angeles,,synthpop/alternative rock/punk/art rock/dance rock/new wave/uk post-punk/new romantic/post-punk/zolo/experimental/experimental rock
Men At Work,0f3EsoviYnRKTkmayI3cux,1.0,Legacy Recordings/Sony Music,au,,,,rock/synthpop/album rock/mellow gold/soft rock/australian alternative rock/dance rock/new wave/new wave pop/new romantic
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,0.0,"RCA Records, Columbia Records, Arista Records, Atlantic Records",us,,Detroit,,pop/disco/soul christmas/singer-songwriter/soul/adult standards/classic funk rock/christmas/funk/soul blues/jazz blues/vocal jazz/memphis soul/southern soul
New Kids On The Block,55qiaow2sDYtjqu1mwRua6,1.0,Kobalt,us,,Boston,"Danny Wood
Jordan Knight
Jonathan Knight
Joey McIntyre
Donnie Wahlberg",dance pop/boy band
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,1.0,Columbia Records,us,,,,rock/pop christmas/permanent wave/singer-songwriter/classic rock/mellow gold/soft rock/roots rock
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,0.0,Dolly Records,us,Nashville,Nashville,,country/pop/country christmas/traditional country/country dawn/nashville sound
Wham!,5lpH0xAS4fVfLkACg9DAuM,1.0,Legacy Recordings/Sony,gb,,London,"George Michael
Andrew Ridgeley
Pepsi Demacque-Crockett and Shirlie Kemp",disco/synthpop/dance pop/pop christmas/soul christmas/boy band/soft rock/dance rock/new wave/europop/new wave pop/new romantic
a-ha,2jzc5TC5TVFLXQlBNiIUzE,1.0,Universal,no,,Oslo,"Morten Harket
Magne Furuholmen
Paul Waaktaar-Savoy",synthpop/permanent wave/soft rock/dance rock/new wave/new wave pop/new romantic
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,1.0,,ca,,,,rock/canadian pop/album rock/mellow gold/soft rock/classic canadian rock
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,1.0,,us,Los Angeles,Los Angeles,,rock/album rock/classic rock/hard rock/glam metal
Rick Astley,0gxyHStUsqpMadRV0Di1Qt,1.0,BMG,gb,,,,disco/dance pop/soft rock/dance rock/new wave/europop/new wave pop/new romantic/dance pop/new wave/new romantic/dance rock/new wave pop/europop/soft rock/disco
Queen,1dfeR4HaWDbWqFHLkxsg1d,1.0,"Virgin/Universal,
Hollywood Records (U.S. & Canada)",gb,,London,"Freddie Mercury, Brian May, Roger Taylor and John Deacon.",rock/album rock/classic rock/glam rock/heavy christmas
The Outfield,1zxDewzd2j1ZdSBGaYcr0y,1.0,The Outfield,gb,,London,"John Spinks- Guitars, Vocals
Tony Lewis- Bass, Lead Vocals
Alan Jackman- Drums",album rock/mellow gold/soft rock/new wave/new wave pop/new romantic/power pop
Nena,6Tz0QRoe083BcOo2YbG9lV,0.0,Laugh & Peas Entertainment,de,,Hamburg,"Derek von Krogh, John Andrews, Paul di Leo, Nader Rahy, Larissa Kerner, Sakias Kerner, Arne Augustin/Simeon Kerner, Van Romaine/Zachary Alford, Kathleen Vogel/Emily Intsiful",europop/new wave pop/german pop
Scorpions,27T030eWyCQRmDyuvr1kxY,1.0,,de,,Hannover,"Rudolf Schenker (Rhythm & Lead Guitars, Backing Vocals)
Klaus Meine (Lead Vocals, Guitars, Tambourine)
Matthias Jabs (Lead & Rhythm Guitars, Backing Vocals)
Paweł Mąciwoda (Bass, Backing Vocals)
Mikkey Dee (Drums)",rock/album rock/hard rock/metal/german metal/german rock
A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,1.0,,gb,,,,synthpop/dance rock/new wave/new wave pop/new romantic
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,1.0,,us,,,,folk/rock/permanent wave/singer-songwriter/album rock/classic rock/mellow gold/folk rock/soft rock/folk christmas/roots rock/brill building pop
Starship,0kObWap02DEg9EAJ3PBxzf,1.0,,us,,Cairo,"Stephanie Calvert - Vocals
Mickey Thomas - Vocals
John Roth - Guitar, vocals
Jeff Adams - Bass, vocals
Phil Bennett - Keyboards, vocals
Darrell ""Pelican"" Verdusco - Drums, vocals
",rock/album rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,1.0,EarMusic,us,,Phoenix,"CURRENT BAND:
ALICE COOPER - VOCALS
CHUCK GARRIC - BASS
TOMMY HENRIKSEN - GUITAR
NITA STRAUSS - GUITAR
RYAN ROXIE - GUITAR
GLEN SOBEL - DRUMS

ORIGINAL BAND:
ALICE COOPER - VOCALS
DENNIS DUNAWAY - BASS
MICHAEL BRUCE - GUITAR
GLEN BUXTON - GUITAR
NEAL SMITH - DRUMS",rock/album rock/classic rock/glam rock/heavy christmas/hard rock/metal/protopunk/glam metal/comic
The Romantics,3daM7asS0gCFvyLemNx2EE,1.0,,us,,Detroit,"Wally Palmar
Mike Skill
Rich Cole
Brad Elvis
John Herrington",rock/synthpop/album rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic/power pop
Rockwell,3xs0LEzcPXtgNfMNcHzLIP,,,gb,,London,Thomas Green,
Billy Ocean,5IDs1CK15HegSAhGEbSYXo,1.0,,gb,,,,disco/mellow gold/soft rock/classic funk rock/dance rock/new wave/europop/new wave pop/new romantic/motown/quiet storm
Bill Medley,1XE70WwxhnrXNAJYQQ9ygx,1.0,,us,,Santa Ana,,mellow gold/soft rock
The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,1.0,,gb,,Manchester,"Ian, John, Mani & Reni",rock/electronic/garage rock/indie rock/alternative rock/classic rock/new wave/britpop/madchester/modern rock
Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,1.0,Sony/BMG,us,,,"Rev Run, DMC, Jam Master Jay",rap/hip hop/pop rap/east coast hip hop/hardcore hip hop/old school hip hop
Europe,7Js6Lde8thlIHXggv2SCBz,1.0,Silver Lining Music / JVC Victor,se,,Stockholm,"           Mic Michaeli - Keys
           John Levén - Bass
           Joey Tempest - Vocals
           John Norum - Guitars
           Ian Haugland - Drums
",rock/album rock/hard rock/glam metal/swedish hard rock
Matthew Wilder,3bmFPbLMiLxtR9tFrTcKcP,1.0,,us,,,,new wave pop/new romantic
Prince,5a2EaR3hamoenG9rDuVn8j,1.0,,us,,,,soul christmas/classic funk rock/motown/funk
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,0.0,,us,,,,rock/album rock/classic rock/pop rock/mellow gold/soft rock/dance rock/new wave pop
Deniece Williams,5jNGQ7VOU87x5402JjhTtd,0.0,Williams and West Entertainment,us,,Los Angeles,,disco/soul christmas/urban contemporary/soul/classic funk rock/motown/quiet storm/funk/new jack swing/memphis soul/southern soul/chicago soul/post-disco
Berlin,2aS6jYh7ysTL1ZUsHneNgM,1.0,,us,,,,synthpop/dance rock/new wave/new wave pop/new romantic
Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,1.0,"Legacy Recordings/Sony Music, currently independent. ",us,,Los Angeles,"Kevin DuBrow
Frankie Banali
Rudy Sarzo
Carlos Cavazo
Chuck Wright
Kenny Hillery
Paul Shortino
Sean McNabb
Alex Grossi
Randy Rhoads
Drew Forsyth
Kelly Garni
Neil Citron
Tony Franklin
Jizzy Pearl
James Durbin",rock/album rock/classic rock/hard rock/metal/glam metal
Loverboy,2CLVPk9FcywjClBcTvWPkT,1.0,Legacy Recordings/Sony,us,,Calgary,"Mike Reno, Paul Dean, Doug Johnson, ""Spider"" Sinnaeve and Matt Frenette",rock/album rock/classic rock/hard rock/glam metal/mellow gold/soft rock/dance rock/new wave pop
Steve Perry,5xQKoGD7Ql92fWd1uWwKkf,1.0,Sony,us,,,"★ Jen (Admin/Page Co-Owner) ★ Pat (Admin/Page Co-Owner) ★ Louise (Admin) ★ Marsha (Admin) ★ Theo (The Fox Admin)                      ══════♪═══════                                                          
                                                                                           Steve Perry(Journey) is a page that was created by fans for fans. We are dedicated to sharing memorabilia, music, and more of the most beautiful voice in the history of rock - ""The Voice"".

This page is not owned or moderated by Steve Perry. We do not know nor do we represent Steve Perry. Additionally, the pictures, videos, DVD, and memorabilia are not owned by this page. We will properly reference any material used, if available.                                             
                                             
══════♪═══════",album rock/mellow gold/soft rock
Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,1.0,Eddie Money Records,us,,New York,,rock/singer-songwriter/album rock/classic rock/pop rock/hard rock/mellow gold/folk rock/soft rock/new wave pop/southern rock
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,1.0,,us,,,,folk/rock/rockabilly/singer-songwriter/classic rock/mellow gold/folk rock/soft rock/soul/adult standards/christmas/rock-and-roll/folk christmas/roots rock/brill building pop
Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,0.0,,gb,,,,soft rock/europop/new wave pop
Gaten Matarazzo,5TLldRzO16khcP3zwBsBB6,,,,,,,
Teena Marie,61UT1Zj9dFgPAjZfwnsqsb,0.0,,us,,,,r&b/disco/urban contemporary/hip pop/soul/neo soul/classic funk rock/motown/quiet storm/funk/new jack swing/post-disco
Madonna,6tbjWDEIzxoDsBA1FuhfPW,0.0,Live Nation,us,,,,pop/dance pop/pop rock/europop
"""Weird Al Yankovic""",1bDWGdIC2hardyt55nlQgG,1.0,Way Moby / Volcano / JIVE / Sony,us,,Los Angeles,"""Weird Al"" Yankovic (vocals and accordion)
Jon ""Bermuda"" Schwartz (drums and percussion)
Jim West (guitar)
Steve Jay (bass)
Ruben Valtierra (touring keyboardist)
",comic/comedy rock/antiviral pop
Corey Hart,0smy8yDrRoI4CnhpOuthg0,1.0,Siena Records,ca,,,,album rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,1.0,,us,,San Francisco,"Huey Lewis (vocals and harmonica)
Johnny Colla (saxophone, guitar and vocals)
Bill Gibson (drums, percussion and vocals)
Sean Hopper (keyboards and vocals)
Stef Burns (guitars and vocals) 
John Pierce (bass)
Marvin McFadden (trumpet)
Rob Sudduth (tenor saxophone)
Johnnie Bamont (baritone saxophone)


",rock/singer-songwriter/album rock/classic rock/mellow gold/folk rock/soft rock/dance rock/new wave pop/new romantic
"""Ray Parker Jr.""",0NyzfcGDZZ6GM25EBG9BYK,1.0,,,,,,
Howard Jones,6loBF9iQdE11WSX29fNKqY,1.0,Dtox Records Ltd,gb,,,,synthpop/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,1.0,Republic Records ,us,,,,rock/pop christmas/singer-songwriter/album rock/classic rock/pop rock/hard rock/mellow gold/folk rock/soft rock/folk christmas/roots rock/southern rock
Hogland,5s21IKPvmxRf9WxpO8H5UB,1.0,,se,Stockholm,Stockholm,,tropical house/deep pop edm/deep tropical house
Sigala,1IueXOQyABrMOprrzwQJWN,1.0,,gb,,London,,pop/edm/dance pop/tropical house/pop/dance pop/edm/tropical house
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,1.0,,no,,Bergen,Alan Walker,electro house
Kygo,23fqKkggKUBHNkbKtXEls4,1.0,,no,,,,pop/edm/tropical house
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,1.0,,,,,,country rap/lgbtq+ hip hop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,1.0,Martin Garrix,nl,,,,pop/edm/tropical house/progressive house/big room
Gaullin,1aQwKFn00nswXRDUDipm0K,1.0,,,,,Linas,
John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,1.0,Sony Music,se,,Stockholm,,edm/tropical house/big room/progressive electro house/swedish pop/swedish idol pop/deep pop edm
Avicii,1vCWHaC5f2uS3yhpwWbIA6,1.0,,se,,,Tim Bergling,pop/edm/big room/pop/big room/edm
CamelPhat,240wlM8vDrf6S4zCyzGj2W,1.0,www.soundcloud.com/camelphat,gb,,,2 Domestic Camels,house/tropical house/progressive house/disco house/deep groove house/deep tech house
Herve Pagez,31JFnMfmvwzZGdEnXaKGek,,,,Paris,Paris,,
LIZOT,12A83CWwFiyXy90ScLWPIe,,SONY / ARMADA DEEP,,,,"Max & Jan ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Management: management@lizotofficial.com
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Booking: mk@swinque.com
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Soundcloud:
https://soundcloud.com/lizotofficial
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
YouTube: https://t.co/BsoECmUril
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Twitter:
https://twitter.com/lizotofficial
",tropical house/deep german pop rock/pop house/deep tropical house
Wahlstedt,7yOWqfe8iP613Ne5SV9XPP,,,,,,,
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1.0,Disruptor Records,us,Los Angeles,Los Angeles,"Alex Pall & Drew Taggart
",pop/edm/tropical house
JOWST,2m0y0cDl1US03sYgxv9r6s,,,,,,,
COY,5tbKiV0G6Xx529nPcTapgF,,,,,,,
Axel Johansson,2xW3pBjCngD69hC1wIUgjA,,,se,,,,deep pop edm
Drenchill,3nmaO18tcMzfrrR7sdJHnH,,,,,,,
Hardwell,6BrvowZBreEkXzJQMpL174,1.0,Revealed Recordings,nl,,,Hardwell,pop/edm/dance pop/tropical house/electro house/progressive house/big room/progressive electro house/deep big room/dutch house
Passion Pit,7gjAu1qr5C2grXeQFFOGeh,1.0,Columbia,us,,Cambridge,Michael Angelakos,synthpop/indie rock/indie pop/indietronica/alternative dance/shimmer pop/new rave/modern rock
Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,1.0,,nl,,Utrecht,Jim & Ray,edm/tropical house/electro house/progressive house/big room/progressive electro house/deep big room/dutch house/sky room
Ben Ambergen,2YgyIHbFLxiQrpTOeKmEv2,,,pt,,,Bernardo Moniz da Maia,deep big room/electro house/big room/sky room
P!nk,1KCSPY1glIKqW2TotWuXOR,0.0,RCA Records,us,,Philadelphia,P!nk,r&b/pop/dance pop/post-teen pop
MEDUZA,0xRXCcSX89eobfrshSVdyu,0.0,,,,,,pop house/pop house
Sean Finn,5xUacP1mVGfiY7Zr9RskmS,1.0,"Cr2 / Sony Music / Tiger Rec.  / Sirup / Ministry of Sound / Milk & Sugar Recordings, Whore Houe Records,",,,Stuttgart,Sean Finn,pop house
Foxa,6lmt4U7hMQhnQzqpDJ1Tor,,,,,,,
Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,1.0,Arista,lt,,,,edm
Hayes,5YeNR0H8X50Z8ui66jFAUD,0.0,,,,,,
Ina Wroldsen,7hssUdpvtY5oiARaUDgFZ3,0.0,Syco Music,gb,,,,tropical house/norwegian pop
State of Sound,05o1zW8b6PV6rEquXr74sB,1.0,Sony Music,se,,Stockholm,"Viktor Norén
Joakim Andrén

MANAGEMENT:
Michael Theanne
Seminal Music / Deckstar Management
mt@deckstar.com

Ricardo Fernandez Zambak
Red & Gold Management
ricardo@redandgoldmgmt.com



BOOKINGS WORLDWIDE:
James Mac
Paramount Artists
james@paramountartists.com

Dave Richards
Paramount Artists
dave@paramountartists.com

",tropical house/deep tropical house
Calvin Harris,7CajNmpbOovFoOoasH2HaY,1.0,Fly Eye | Sony Music | Deconstruction ,gb,,Dumfries,Calvin Harris,pop/edm/house/electro house/progressive house
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,1.0,WHAT A MUSIC / PARLOPHONE / WARNER MUSIC,fr,,Paris,David Guetta,pop/edm/dance pop
Andrew Roman,5m4tDVujm5sy8RxOMimDQk,,,,,,,
K-391,6pWcSL9wSJZQ9ne0TnhdWr,1.0,,no,,,,tracestep/nordic house
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,1.0,,be,,,,edm/dance pop/tropical house/electro house/big room/progressive electro house/deep big room
XO Cupid,1Fy4Vnoq3HspYLrgEs9VNc,0.0,,,,,,tropical house
Ludvigsson,3oa1ydh8eLVXesBUwIfBWQ,,,,,,,deep pop edm
Charlie Who?,6wbnrM9ATvOxJEH3Yh7vWx,,,,,,,
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,1.0,Armada Music  www.armadamusic.com www.facebook.com/armadamusic,nl,,,Armin van Buuren,edm/trance/progressive house/progressive trance
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,0.0,Record Company TEN,se,Stockholm,Stockholm,,pop/edm/dance pop/tropical house/post-teen pop/swedish pop
French Montana,6vXTefBL93Dj5IqAWq6OTv,1.0,Coke Boys/Bad Boy Entertainment/Epic Records,ma,,,,rap/pop/hip hop/pop rap/southern hip hop/trap music
Digital Farm Animals,5fyDppLDl1juIu1BcUT5zh,1.0,,,,London,,edm
Vicetone,0daugAjUgbJSqdlyYNwIbT,1.0,,nl,,,Ruben & Victor,pop/edm/dance pop/tropical house/electro house/big room/progressive electro house/deep big room/catstep/tracestep
SJUR,1X6dfPmF8f5C5EW3WIGfvm,1.0,Sony Music Norway,no,,Bergen,Sjur Kristian Gimmestad,tropical house/deep tropical house/norwegian pop
Different Heaven,0pCGA9tdtbWwo1pKIs0CFx,1.0,Ultra Music,es,,Seville,,catstep/tracestep
Erlandsson,3mkANE8kTZpm5SXJWCmihm,,,de,,,,deep pop edm
Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,1.0,Sony Music Entertainment,pr,New York,San Juan,Pedro Capó,latin pop
Pelago,5kgwb87hriOMQstPRdvInn,,,,,,,
Enzo Ingrosso,6F1Ynxvudm3avEoQ1sdWq2,,,,,,,
Winati,7hsdPMApV4JTkBUUL4ZWMk,0.0,,,,,,
Alex Fosse,17BO6YsrjL8HHULcAmIH1E,,,,,,,
Marshmello,64KEffDW9EtZ1y2vBYgq8T,1.0,,us,,,,brostep/progressive electro house
Dayvi,2TWBei99x2tV70bdYbWdAf,,,co,,,,circuit
Tom Ferry,7nLgDxwtRUTbagZKa9aaVA,,Enhanced recordings,gb,,Liverpool,,
RudeLies,7hf6L4LN1RTVN66IdBVpPr,,Armada • Sony • Universal • REVƎRSE,se,Stockholm,Stockholm,,pop edm
Alex Mattson,1AqQ7buD0q6SRbQtYQUnou,,Sony Music,fi,,,Alex Mattson,finnish dance pop
Discrete,7arwEayqcKWkzDmGEB7xov,,,,,,,
TooManyLeftHands,5tCPpDoXfTKy5yTongtDAT,,Disco:wax,dk,,,Please follow us on snapchat. TooManyLeftHand (without the S in the end) :),
Davai,0xZvYTiM5QT94j1abOm0nC,,,no,,,,norwegian pop
Wave Wave,2jeqYJH4s0yEiqBpfer8s9,,,,,,,
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,1.0,"Musical Freedom - http://www.musicalfreedom.com
AFTR:HRS - https://www.facebook.com/AFTRHRSrecords/",nl,,,,pop/edm/house/trance/tropical house/electro house/big room/brostep
Peking Duk,0UZ1nu3kcdNlCoiKRjmSSY,1.0,RCA Records / Vicious,au,Canberra,Canberra,Reuben Styles & Adam Hyde,edm/deep australian indie
Vinil,4B9njk5H0MezHq02ZrF6SA,,,,,,,
Famba,5hXPnS34O3Kq3O8dkaE9FM,,Sony Canada,ca,Halifax,Halifax,,
R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1.0,"CYB3RPVNK
www.cyb3rpvnk.com",nl,,,,pop/edm/tropical house/electro house/big room/progressive electro house/dutch house
Julien Earle,31s2O69SopBJilGw6u6CYu,,,,,,,
Aaron Smith,77qukKzmdI5BeMBR7WGUrN,1.0,,us,,,,chicago house
Lost Kings,3hyEbRtp617pNCuuQjyOmc,1.0,RCA Records / Disruptor Records,us,Los Angeles,Los Angeles,"Robert Gainley
Dr. No",pop/edm/tropical house/electro house/indie poptimism/deep tropical house
Valerie Broussard,6eVWXmKBW7Iltub01D9R1c,,,us,,Springfield,,
Regard,4ofCBoyEiGSePFAG500xev,,LEAF Music,,,,"Regard
",
Hellberg,1kgxTtyF91VaqLD3J6Krd5,1.0,Sony Music,se,,Stockholm,Jonathan Hellberg,edm/electro house/complextro/catstep/tracestep/chillstep
Boy & Bear,2NqgE99Ll5vOTvmbN7O2R6,,,au,,Sydney,Dave Hosking - Killian Gavin - Tim Hart - Jon Hart - Dave Symes,folk-pop/australian indie
Dizzy,0g3BS5QoR5r6pOAg1tvwXv,0.0,Royal Mountain Records ,,,Oshawa,"katie, charlie, alex, mack",
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,,,,,,,alternative pop rock
Dune Rats,0KtaCKmTMIQZsxlOgyNa04,,RATBAG RECORDS,au,Brisbane,Brisbane,"DANNY
BRETT
BC
",australian alternative rock/aussietronica/deep australian indie/australian hip hop/australian garage punk
Ocean Alley,18lpwfiys4GtdHWNUu9qQr,1.0,Independent ,au,,,"Baden - Vocals
Angus - Lead Guitar
Nic - Bass Guitar
Lach - Keys/Vocals
Mitch - Rhythm Guitar
Tommy - Drums",australian indie
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,0.0,,es,,Barcelona,,
Sampa the Great,7fw0E8WHdG3r9SuPBcGmWk,0.0,,au,Sydney,Sydney,,escape room/australian hip hop
Essie Holt,7KomgEn4rEeEQRQkNONaHv,,Independent,,,,,
Saint Lane,4M0vvoQACWxLNrLVrx3MWX,,,,,,,australian hip hop
Sløtface,5sCDleuvB5bBwbSGsp9Bwh,0.0,Propeller Recordings,no,Stavanger,Stavanger,"Haley Shea - Vocals
Lasse Lokøy - Bass
Tor-Arne Vikingstad - Guitar ",norwegian indie
TOTTY,5tOshqnaM41LBDj4eqANGf,,,,,,,
Clairo,3l0CmX0FuQjFxr8SK7Vqag,0.0,,,,,,pop
Eat Your Heart Out,1Zj2DULoJ6vo0FZ2R8HM3i,,Fearless Records,au,,Newcastle,"Caitlin / vocals
Andrew / guitar
Will / guitar
Dom / bass
Jake / drums",
GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,1.0,,us,,,,rap/hip hop/pop rap/indie r&b/underground hip hop
