track_name,track_id,album_label
Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,Mötley Records
Danger Zone,3hMHG6lx9QHVcfYSUr5PoM,Sony Music UK
I Ran,10zlwR7kvVbD9OBkeZWr3L,Sony Music Entertainment
You Can Call Me Al,6wLr2oR8eqUG5Beleh2Crm,Now! Music
We Built This City,7aHRctaQ7vjxVTVmY8OhAA,Warner Music Group - X5 Music Group
Poison,5XcZRgJv3zMhTqCyESjQrF,Epic/Legacy
What I Like About You,6NdcSEhpGGAYXNnnhGS2s6,SME Strategic Marketing Group
Somebody's Watching Me - Single Version,6A4Jc8npNo79BOgsrPptLA,SBME Strategic Marketing Group
Nothing's Gonna Stop Us Now,2vEQ9zBiwbAVXzS2SOxodY,Warner Music Group - X5 Music Group
How Will I Know,6mv30SInldy4Ijy1XZ9GdO,Now! Music
Caribbean Queen (No More Love On the Run),72dwliDcUH6g2TFiMTEbE9,Jive
(I've Had) The Time of My Life,5UqqOfFa9DYXALpCCF8VwB,Sony Music Entertainment
She Bangs the Drums - Remastered,3clIHVzJ9J2rvvrFUKLICo,Silvertone
Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,Legacy Recordings
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,Epic
Paradise City,5Q41NLTmGbVPozwHKK7bk2,Digital Distribution Trinidad and Tobago
The Final Countdown,7c5lMuvtz2gddhDyG5MjB6,Sony Music Entertainment
Break My Stride,2ZqT3GcisHUBsEaqhLGHwU,Now! Music
Who Can It Be Now?,29r3fDexnrto7WABfpblNH,Sony Music Entertainment
Kiss,62LJFaYihsdVrrkgUOJC05,Rhino/Warner Bros.
We Belong - Single Version,7c5z62mM6hqZdrMgx4yEFC,Sony Music UK
Let's Hear It for the Boy,5kaF88lat4fWUiDXP6G48M,Sony Music Catalog
Keep on Loving You - Remastered,4rcHWl68ai6KvpXlc8vbnE,Sony Music Entertainment
"""Take My Breath Away - Love Theme from """"Top Gun""""""",15MJ5NThPjj6xhPcts8MiY,Sony Music Entertainment
It's Still Rock and Roll to Me,7LbOQt7isddrw3Bs3Czl7E,Columbia/Legacy
Cum on Feel the Noize,3vV3cr2TpPqFk07zxYUbla,SBCMG
Talking In Your Sleep,6FXQERPP5in7i1o3hk1vWi,SBCMG
Jump (For My Love) - Single Remix,4WoT9wgK9o1cxBfKRWlRzx,J Records
Working for the Weekend,0sgDEFq9oeC8ueOK0mR5IA,Columbia
Faithfully,6HzZhqXNyfJxuvQ9zfCc1U,NOW POWER BALLADS
Oh Sherrie,3wqoAzrr5htxSZ7KzxhLHg,Columbia
I'm on Fire,3PzsbWSQdLCKDLxn7YZfkM,Legacy Recordings
Take Me Home Tonight,4TsTkffaD3xd3L7hSuwNTG,Now Joint Venture
You Got It,0RteYQqW1AOq3JNL0yMWYt,Sony Music Entertainment
"""I'm Alright (Theme from """"Caddyshack"""")""",1UveyJanND5TdsO87bI32l,Sony Music Entertainment
Total Eclipse of the Heart,5prTs2HAw2G4idHZyeFp8o,Sony Music Entertainment
I Wanna Be Adored - Remastered,758wEKVqfYopJIHYWdLVd4,Silvertone
Bad Reputation,7pu8AhGUxHZSCWTkQ2eb5M,Liberator Music
Can't Fight This Feeling,45tHS9JkfVPnrK2kfQEX2r,Epic
Wake Me Up Before You Go-Go,6lXjIRVsn4anV7sBhLBoiX,SME Strategic Marketing Group
Never Ending Story,7r6xGsyES2DTacyP6O585i,Legacy Recordings
Lovergirl - Single Version,3tz1dRufejUa1z5WDz9RJb,Epic/Legacy
Neutron Dance,73XBEM0gcXc3lku1KwaLGS,Sony Music UK
Hazy Shade of Winter,0P2vAvvWni2tNXOdbH3JFk,Columbia/Legacy
Material Girl,2PMcv8wvhIrAGBCFSsiP4w,Legacy Recordings
Strike Zone,4WP7NwyUp13KNLlpfdIJal,Columbia
Crimson and Clover,4do0Z0rHdFUV3RSMxMQsdq,Liberator Music
Baba O'Riley - ConfidentialMX Remix,5iq0Tela3gm73ZW72XZ5dm,Geffen
My Bologna,5aUTSJltF24eevgzM2j7gE,Volcano
Never Surrender,2EaZJ3QueEizd22LdKnQxG,CAPITOL CATALOG MKT (C92)
Workin' for a Livin',1GbqmRw9pqTVxA1GgIFX7e,Capitol Records
"""Ghostbusters - From """"Ghostbusters""""""",6QGI6v91UlqSytTDVKZIUP,Sony Music Entertainment
Things Can Only Get Better,1Lm5JXlRt90S8dzk1ZqzmA,Warner Strategic Marketing
R.O.C.K. In the U.S.A. (A Salute to 60's Rock),2VkQe8kCQtEp47WAStSTV8,Universal Strategic Marketing
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,Geffen Records
You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,Now! Music
Letting Go,1S7hEPenrIVKVTuEjtXKz9,TGR Music Group
Wish You Well,1yAPglN5AGf7UoLK062ZYq,Polydor Records
On My Way,4n7jnSxVLd8QioibtTDBDq,MER Recordings
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,Kygo
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,Columbia
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,Epic Amsterdam
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,Killa Tequila
Say What You Want,43KLa2butXjsupKiuxD1pO,Mashup
Heaven,0vrmHPfoBadXVr2n0m1aqZ,Universal Music AB
Be Someone,4esEsg9IxiTAGMBQLe9XOu,RCA Records Label
Spicy - with Diplo & Charli XCX,7hzjWGFi2HKUGOXp1LiQ3V,Mad Decent
Carry On - Nicky Romero Remix,4fK2NU9UyQJV74ZGiSVYsr,Palm Tree Records/RCA Records
Made For You,1bZCA8kaaYYIMpU3Mh7R7U,Mashup
SOS,6nDKrPlXdpomGBgAlO7UdP,Universal Music AB
We Are Young (feat. byMIA),4PHwhFkTWtDcy0D1Vh15S1,Nitron Music
You and I,2zenXe3zo8bO6AvN3pYGRH,LINC MUSIC
Who Do You Love (with 5 Seconds of Summer),0u76qSAbFZPbOsBq5lIixm,Disruptor Records/Columbia
Happier (feat. Chris Medina),5yO3kbAQD37ge4S3YKao2t,JOWST
Crying Over You,3EBhdBNTPyyr7WesrLxoOL,Columbia
Miracles (feat. Tina Stachowiak),1tE9no1NyExKy7NCsg9ucW,disco:wax
Freed from Desire (feat. Indiiana),1lr5prHQn7Q766Ix6eGRKK,Nitron Music
Summer Air (feat. Trevor Guthrie),1mQ6oxC6caPHPY1siLKNzO,Revealed Recordings
I Found U,6jSPbxZLd2yemJTjz2gqOT,Columbia
No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,Epic Amsterdam
Think About You - Galantis Remix,4fC6tDEFmSBBCRBUOPeQ8b,Kygo
We Got It All (feat. MPH),3GE52DOmiSQ2R3FHGmYSif,One Seven
Rebels of the Sun,0lATEvmAb77iuzskkzeTT4,TGR Music Group
Can We Pretend (feat. Cash Cash),3O0e0LHTpza0rYVDbZfQ4r,RCA Records Label
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,Virgin
Infinity 2018 - Klaas Remix Edit,5gyAm7BgB0d0I4RPK1zcn2,Nitron Music
Told You Once,3tGhzuFRXJdHEge0MN0sC2,TGR Music Group
Obsessed,7p4tetW3qNwSCz92PLGJg5,b1
When I Needed You,384cCGcuBBTfOFDRdxGppm,TGR Music Group
Diamond Heart,0nrWZWkJM62ftQJSI8fDc0,MER Recordings
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Universal Music
I'm Not Sorry,37rViwc93rhxfbkZ1mcRY4,Revealed Recordings
All Alone,7IVvb9JlzJBJSMwPvlwkyU,TGR Music Group
Strongest (Alan Walker Remix),2r9hCNjupNy2C2g3r6SNz6,Syco Music
High on You - Filatov & Karas Remix,29HngRNSQ6OOqDmFuGdgpd,Columbia
One,1eJun36v5eq9S9XkVwyZPz,disco:wax
Lullaby - Calvo Remix,3mqvUmsGVshZSf5INiebzO,Ministry of Sound Recordings
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Columbia
Burn Out (feat. Dewain Whitmore),7IWTIkiWGWNQyYfOLdMrGD,Epic Amsterdam
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,Parlophone France
Dreaming with You,22j0ZtN6WrzpTMYAvU9CcT,TGR Music Group
Ignite (feat. SEUNGRI),0UMLejbZXf7YVgnfxURvVr,MER Recordings
Selfish,6xUy203RnyyOfbqf96Nven,Epic Amsterdam
Different World (feat. CORSAK),4heFQCyiW0RUEX1Q1lb008,MER Recordings
True Colors (feat. Maya Avedis),4AMY0oGSt7vZwgxDnHCJBr,Columbia
Different Tomorrow,3kJH0z9rh2qAkCLpuf7pja,TGR Music Group
Animals (feat. Moa Lisa),5GMVWJlxfNYOb9GkWTU5eO,Columbia
Blah Blah Blah,0tp6mwUt99QnfY95T30Lqj,ARVA
Closer - R3hab Remix,76pD98ghY1Hl05aDXzuFmq,Disruptor Records/Columbia
Magic City,1EYe8QORnVJey5MQT5H35S,Linc Music
Happiness,7ix1nGNRBkJiKjJNCWjDTp,Linc
Ain't My Fault - R3hab Remix,3YPlsrk0Voe8AOa1jyN891,Epic/Record Company TEN
Unforgettable (feat. Swae Lee) - Major Lazer Remix,5Xl8hwINbHKEYBHIU0WL1i,Bad Boy Entertainment/Epic Records
Tokyo Nights,3TxKtkCNR1yQARsvHxvNnP,Syco Music
The River,7ej7R4LjMWP6sdCtoayJSN,disco:wax
Astronomia,665AK0ovB11McZRwfa852G,disco:wax
Tough Love,4XZxalvnG4Yo8YZLuiT1kV,Universal Music AB
This Feeling,4NBTZtAt1F13VvlSKe6KTl,"Ultra Records, LLC"
Back To Life (with Brandyn Burnette),68YNMgfu6MuCkdwLeiMR5g,RCA Records Label
Live At Night (feat. Sophie Simmons),37BKY4ENeTfWjq2SixtTF2,"Ultra Records, LLC"
Better Love,296raqXxWiJQzExsdhXfvA,TGR Music Group
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo/RCA Records
Calma - Alan Walker Remix,1aSarrHE1TK9vSmyozuo4K,Sony Music Latin
Instagram,0U6bQIAh6MCGo1xjbIIx2S,Epic Amsterdam
Not Ok - Frank Walker Remix,6VP3410weACXiPCVLKSkOb,Kygo
All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,Epic/Record Company TEN
Safe Place (feat. Maximus),2MAkRdJohGSnQJXNcRZPIs,One Seven
Takeaway,6wo37KVqFJhtuxPTpLCcfe,Disruptor Records/Columbia
Who Am I (feat. Conrad Sewell),1tWQK2NoRsWj6JECrLhotv,FutureKind
Sweet Dreams (Are Made of This),1o9D0rUusi2V5idyOEOPII,LINC MUSIC
For the Love,1kY5CM6HOuISKVk9X5OFkF,TGR Music Group
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,RCA Records Label Nashville
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,Epic Amsterdam
Globetrotter,1bFQhFmmfURmAIzyp5nIRO,TGR Music Group
Baila Conmigo (feat. Kelly Ruíz),4Clmg1g8n2yBYG13Z1oSdG,Sony Music México
Hold On,7o9SNYNMZTLtWo5W0IH6PI,TGR Music Group
Lucky One (feat. ILY),58tYBkyFprVpfe0HtJqH27,One Seven
Ready for the Summer,6kTsWBU0JLeFYQ9f0bGEYN,TGR Music Group
Can't Say No (feat. PJZ),5CQ6McE86ztNSOhQwRwgSf,RCA Records Label
Trippin' Bout You,4HHy7AkmBbYbhHChssnk5F,RCA Deutschland
Clouds Come Falling,1IhCiiLAFSZLaXVX4T9xqa,TGR Music Group
Faded - Tiesto's Deep House Remix,1Lma3yrNXT5xkQmRDAvoMW,New State
Forgive or Forget - R3HAB Remix,6bERyJwcB3qHDZMnT6Wy9p,Syco Music UK
Lonely,35Z5CNt0GVIAACouXzDwpO,disco:wax
Somebody I'm Not,5lAMOiZhF8pq4wO3uHREaY,Epic Oslo
"""Baby You Are Wrong""",2V9Jtmhr0wPZ5fNwHaZM3t,
Blame It On Me (feat. Peg Parnevik),4WOlGxV92vvLAPdBtVVB9K,RCA Records Label
Ritual,3M9Apu4OZfylLTFKvgEtKa,Universal Music B.V.
Who Do You Love,11cDEev79fPKi6uJCjUhu8,Disruptor Records/Columbia
Happy Now,14sOS5L36385FJ3OL8hew4,"Ultra Records, LLC"
Stranger Things (feat. OneRepublic) - Alan Walker Remix,76c4KOymiPUkWEeIIc0DQr,Kygo
Go to Sleep - Wahlstedt Remix,6PsThaFJEeaKMokhSPINnY,Mashup
Ur Eyez (feat. Al Wright),6kr32AlGspfKtHjVhaAMFo,Sony Music Entertainment
Run,0aqMi0XNlUNWAx05NpKReN,TGR Music Group
Happy Kids,3nVJ4tGeLFR6HUiz3e7qAe,Mashup
Swear to God,72bEWSaxvAnkuxxwDbGmjP,Sony Music Canada
Tell Me,1w3NRFdNXk7aoVvE7ZTLAx,TGR Music Group
All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,CYB3RPVNK
Cry Like Kim K (with Lisa Ajax),1ZSSNLEDzs3yFDwM85HDHU,Epic Oslo
Heartbeat,6FVXYG672sP1w4hIif2C4q,LINC MUSIC
Happiness,6ZOe6b0uRqmiHuNl8EjeZ5,Linc
The Ones,1c9Fb6UL7adMDHwaZ4VyI7,Tenacity Records
Silence - Tiësto's Big Room Remix,3AUW7mAGx1BICBWqsuFgh4,Joytime Collective/RCA Records
No Love,4kdUKo9pBPB7a0agGRpPxa,disco:wax
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,Sony Music Entertainment
Running Wild,2VSaBLyfbtJZzFg5jhAFjn,Linc Music
Don't Kill My High,09yhMTRqQ1I1dniu3PoIQi,Disruptor Records/RCA Records
Faded,698ItKASDavgwZ3WjaWjtz,Now! Music
Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,Epic Amsterdam
Roots,23FHa9lYnG6Dr8OzombPkS,Palm Tree Records/RCA Records
Ride It,2tnVG71enUj33Ic2nFN6kZ,Ministry of Sound Recordings
Punching in the Dark,3zysdGd91RB2oMEkSQVYno,Columbia
Never Never (feat. Indiiana),40NKYSkaTC4F62QbIVJ8S6,Nitron Music
Hold Your Nerve,0uxJQQ43OsTphko9WIx18L,
Twist,7b1VYO8NHWw7cDtciOOZjf,
Açaí Bowl,5M3KOe4FGUidvRDUbFFdFk,Columbia
No Plans,4CZHbzrzXSNDagymnv99TB,BMG Rights Management (Australia) Pty Ltd.
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,Virgin
Infinity,65wl0TYoyrBFJtotwJiDHl,Ocean Alley
Aute Cuture,7dQFpbs34ufIEU745DVclf,Columbia
Final Form,1ZLEITam4DYubijkdrSFHd,Ninja Tune
Give Me The Night,6uentr6yyvzyLKQv4v5hTy,Independent
Sugary Sweet,7bS6m9ZE9MbPTDf4H8FG51,Saint Lane
Telepathetic,3Q0Ov4DdXSyELOWMQe5kPo,Caroline Music Australia
Lucky,1qNFwTxj57fL47hUNOKJtf,BMG Rights Management (Australia) Pty Ltd.
Bags,6X3FZtz4cKU2MKSQlGG9ZG,FADER Label
Closer To The Sun,7CtVxDOnti17HLLVTii46F,Fearless Records
Joke Ting (feat. Ari PenSmith),7K34SxFo620JWLO8BrxkFs,Squaaash Club/RCA Records
Self-Immolate,5GbnqdwvpnPDFaMuh0Jvu1,
Cheap Queen,2U5Q0eGC03syuUie76vROa,"Zelig Records, LLC./Columbia Records"
Make Your Move,5gBTUPVWxpsiIiMLKKGgrR,Universal Music Australia Pty. Ltd.
Parents,3zR5cAShCz1ugKIWXGTjI3,Locomotion Recordings/Geffen Records
Double Dreaming,1Zi8FgBKCYfgTDiWg7UAsI,Farmer & The Owl
Just Exist,7Hzt5M3AYK5QuSGYBQqPhB,Cooking Vinyl Australia
All My Friends,7sGTH1fber0bhncNMfNxmt,Columbia
Ode To Artifice,2BxOokKVzYicxc7AX9Vb21,Grand Jury
My City,57l0mNOHHfXEu5fjeNxovB,Golden Era Records
Then What,5FfZ40feVmKy7AAcVMTgaG,Sony Music Entertainment
Doin' Time,0cLS7FslBJgsuWwJNRnPWB,Polydor Records
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,Columbia
Low Blow,5AMEyWxj1I1pK1exqOAIid,XXYV
Bill's Mandolin,1JnsE4PURux89eMSbkgdTA,
Gorgeous,7enC3VGSZI3KB8txyUVgru,Method
Obsessed,0knrEHnIsB0mNwoYJh7zIe,Ivy League Records
Inappropriate Behaviour,0Ma58HrmhNi0UrOCnAXXBt,Chugg Music
Unsainted,2093eVNfimjmNjU1gk1ES7,Roadrunner Records
Truly Madly Sleepy,6DI32hC96WnqdSvmGHIwMM,The Flowers
Coast to Coast,7bZnfw1JDD6WSzMu5r4DNy,BMG Rights Management (Australia) Pty Ltd.
When You Get Home,4il36NXFUKQQZ9BYEYokxM,Nancie Schipper
Civil War,5tmu5pAFHkUSl8Fo8ncyA4,Columbia
Déjà vu,0jyYpq3MOxT8uXgXrhYbqq,Rough Trade
Be Yourself,3rkkZA99S00n7Jk8bTqHE9,Universal Music Australia Pty. Ltd.
Let Me Take You (feat. Jeremih),2tVzoSuPQpZ1yY7HHnXw7B,Big Beat Records
Nightmare,340UVheS8z3ncW9TTUhAbc,Capitol Records
I Am,6z3K05xwAKuvmvtyrRZJYJ,Universal Music Australia Pty. Ltd.
RICKY,7K0iidDYDudSm9BoSt901M,Loma Vista Recordings
Black Child,64uGDq9bunENFsA37qxrY7,Universal Music Australia Pty. Ltd.
I Lost a Friend,49MMefftWPcltNP4OOJGSs,OYOY
No Complaints (feat. DMP Jefe),1k9QClt9wiMG0YOKPUNQbD,Not specified
Between You & I,5bXNVJIJTnb1iaHKxTOKRh,WM Australia
Prey,6hZKcLpX0r18O4WVSq2fbe,Settle Down Records
Never Dance Alone (feat. Ladyhawke),1isYaDmez7OuyZ22tK2y1y,WM Australia
Nerve 2 Reverse,1wTzxBsOJvqz0zQZr5Tomd,Independent
Evil Spider,3NqoZnyv3qLAM0y3CjB8l2,Republic Records
Hey You,0soAgAXmRgBe1tpPZoq1lS,BMG Rights Management (Australia) Pty Ltd.
You Little Beauty,44Lfefp20d2JE2EEvOnaXD,Catch & Release
This Baby Don’t Cry,3dm59JCkJMWluH7n3bRzd4,Night Street/Interscope Records
Trouble,3n92kZq33N9ETdxOwcXPZk,Ruby Fields
Wrong One,3dmT0RFjIL4m5ReWDt96TA,Universal Music Australia Pty. Ltd.
Dance Monkey,421leiR6jKlH5KDdwLYrOs,Bad Batch Records
How I Feel,0bd8fPw31qadTa9gK6bkya,Independent
Everything Is Better Without You,5y0mJycgTz5eE8v2wFIK8X,New Tribe Music
Homicide,0Lw6aQcBFWTQ9m4MSwwwes,Def Jam Recordings
Alligator,0Wtk7mGnWcDoJqgUVHIPW6,Republic Records
Resolution,65fnTY0mjueJoZJZfd8yHg,
Gimme,14BPKhtTkVVTwSfWslRJW9,Harvest Records
EYES WIDE,2wvn9sI4pxAFrCySBSNCkz,Independent
Nowhere to Go,7cnwTPuCdevRSusG4EzxKf,
Miss Shiney,4QnKrqFiQwzKXOJ5sOk53u,Alt. Music Group
Bloodline,2MrmBl3qmsA26YPvaiSvmW,UNFD
Solid Gold,7DQ5CZjAQdhgDgdnSXxJ7Z,etcetc AU
Painkiller,1abFkY2jm6KDFMZ7RD9YJh,RCA Records Label
Good Grief,55vwPyoXwWXubmMfIjDCkG,Spacey Jane
Dumb,0OQEZDYwnmyPER7KJDwYz5,Ivy League Records
Why Don't You Just Call Me,6urmRPAcdXKVyTvWvaP6jx,Universal Music Australia Pty. Ltd.
Millennium Drive,7yQbPS2uCaohUt0yDs1Oku,Sureshaker
Side Effects,6ceQzaHLJftxRKyz4S9BNn,Glassnote Music LLC
Unemployed,70kjLeuW46xJ5pqzYRLHAf,Tierra Whack
I Am Not Afraid,0md7WMVsURWmc0UjrILlZb,
Teach Me About Dying,1y23w1TTdHoWvF1DE9vFh8,Wonderlick
Turned Loose,7oAItJmA16mGldRppZppg8,Music Farmers + Rad
Coming Down,1NaxD6BhOQ69C4Cdcx5jrP,Four Music Productions
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,#Merky Records
Better in Blak,1yaXuPp5FJZgeNVKJdOpAP,WM Australia
No Sleep,3kdUidztAYYRRywiVfyVzL,Kitsuné Hot Stream
I Haven't Done A Thing Today,7qv0Patjy2SRVH8LrWa6mC,Dew Process Services
CrasH,6BKAKoo7J2vwJGZJs5dhGD,Top Dawg Entertainment/Interscope Records
21 Devils (feat. Ocean Grove),3neMDqBWTDrGJBafoHmiFq,WM Australia
Kill the Mood,6q1bBnGQDcWkgwCQFMhCkV,Taj Ralph
Seventy Lies,5CjJ2cF82IkF2xgz1BNb5P,Ivy League Records
Morrow,6C7BEl8GiJVZbqbsRktedx,"Getting Out Our Dreams, Inc./Def Jam Recordings"
Am I Doing It Right?,1nuuj5wA1ovOwhrkuRXQE8,
Jellyfish,0tqt5vumbJa3P0SlWkJqlh,UNFD
Power is Power,35RDmXJ59YYGNlv1KfTGsP,Columbia
Used To Be,43E36HntcyRFFB6HvcMDQM,
Ego,6rO3AiJuCAK1zugrvG5Nk2,Asphalt Records
I've Got You,1SE83eMBlGJRvHiu6UQA52,
"""Heaven Can Wait (feat. Sia Diplo and Labrinth)""",2VDTgXwf3F6kcpX4HI0BKy,
Tops,4KrNpmOQkRX5cay2KZiwsA,Domestic La La
Everybody Here Hates You,3Gjk9HvG1T6yeoOJGW6eoK,
Come Home (feat. André 3000),6RpunyUP44SDweJPDScLSF,"Aftermath/12 Tone Music, LLC"
Like That,2zRvQmloY0Ru9qkNwGEBiZ,Indica Australia
Adolescent,1AohinmSbmr2kG7oZe1iyC,I OH YOU
Georgia,2B15MgKTaavdlKdlwd4W0R,Question Everything/RCA Records
Late Night Feelings (feat. Lykke Li),7aQeWViSfRWSEwtJD86Eq0,Columbia
Free at Last,0ey3UUhQcOXcZp4KuYPs5N,
Self,1WqLtczgKdbHFHhefOU0y7,"Right Hand Music Group, LLC/RCA Records"
I’m Not Coming Back,1ur9qTF0WRBA2qmWi30mMP,EMI Recorded Music Australia Pty Ltd
Borderline,3O8X1DE9btbzy4UH9cSX9a,Universal Music Australia Pty. Ltd.
Perfect Blue,0LEKV8dzDMplmxT5jzcnR9,Future Classic
Life Is Incredible,15lFEia1yiVLwwDsIyzptu,Universal Music Australia Pty. Ltd.
Fuck U,3CM9A4BxQa0WjAOleeyvoh,Sneaker Kids
You And I,49Hn5CPPYkFPC6gn2koKug,Owl Eyes
Get Better,21ShcAgvO2NpKXQUrZwzfx,Independent
Peace,20JGGCzwmvA9t1vs9HYkxE,EMI Recorded Music Australia Pty Ltd
Scalin',2tToIL5iEpqG3x20fGIjT9,Arno Faraji
bad guy,2Fxmhks0bxGSBdJ92vM42m,Darkroom/Interscope Records
Too Proud,4J9v5hahWuu4EVGn3U7hg5,Neon Gold/Atlantic
Times Won’t Change Me,233003v6BRCEtnIlUZYkG0,Prolifica Inc.
The Monologue,2HlHs4vrltZqU1j2XmxrWt,Elefant Traks
Can't Buy Happiness,6Y7Md7FWqDvWxu4jK6pM9K,
Enemies,5dMAJobNIYRGQJix2Qb4SV,Egoism
Disc Read Error,6HfeFsxortuxH1O0sZ1O9k,Future Classic
Timee,0SfSFwaaHFiRuon6mY79qr,Stevan
Coven,4KYU0OuumII4QuKcMIUgkn,UNFD
Protection,4fe7vDLWcfLKqnzPS4Qp1t,ONETWO
Pub Feed,18LwPvdmTNJfo3B0ZIH2Zp,Independent
Friends,3Y8JSCYjFznthCYb5HZ8lW,Future Classic
Jailbreak the Tesla (feat. Aminé),5GvdOog4FrFxWm6fXfjYIY,Seneca Village
P()L4R,76pA61r6AKG9kXEP8fYLTK,WM Australia
Real Thing,78JRWJAGjPIYyPRQ4mb5uW,EMI Recorded Music Australia Pty Ltd
